"",BBK01.OEHI08H,BBK01.OEHI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:08,
2002-01,38.830,
2002-04,38.447,
2002-07,38.373,
2002-10,39.772,
2003-01,40.312,
2003-04,40.541,
2003-07,40.793,
2003-10,41.696,
2004-01,41.841,
2004-04,41.761,
2004-07,41.508,
2004-10,42.403,
2005-01,42.364,
2005-04,42.079,
2005-07,42.137,
2005-10,42.675,
2006-01,42.248,
2006-04,41.494,
2006-07,40.521,
2006-10,39.665,
2007-01,37.999,
2007-04,36.609,
2007-07,35.409,
2007-10,34.834,
2008-01,33.859,
2008-04,32.895,
2008-07,32.003,
2008-10,32.365,
2009-01,32.914,
2009-04,33.706,
2009-07,34.314,
2009-10,35.678,
2010-01,37.142,
2010-04,38.862,
2010-07,40.047,
2010-10,41.237,
2011-01,41.662,
2011-04,41.663,
2011-07,41.603,
2011-10,42.311,
2012-01,42.671,
2012-04,43.066,
2012-07,43.521,
2012-10,44.108,
2013-01,44.287,
2013-04,44.237,
2013-07,43.611,
2013-10,43.823,
2014-01,43.308,
2014-04,42.734,
2014-07,42.276,
