"",BBK01.OELI01P,BBK01.OELI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:29,
2002-01,6.089,
2002-04,6.055,
2002-07,5.813,
2002-10,5.998,
2003-01,6.137,
2003-04,6.140,
2003-07,6.082,
2003-10,6.268,
2004-01,6.219,
2004-04,6.179,
2004-07,6.151,
2004-10,6.258,
2005-01,6.190,
2005-04,6.169,
2005-07,6.263,
2005-10,6.372,
2006-01,6.267,
2006-04,6.223,
2006-07,6.185,
2006-10,6.423,
2007-01,6.288,
2007-04,6.340,
2007-07,6.297,
2007-10,6.519,
2008-01,6.337,
2008-04,6.290,
2008-07,6.387,
2008-10,6.759,
2009-01,6.688,
2009-04,6.772,
2009-07,6.855,
2009-10,7.236,
2010-01,7.221,
2010-04,7.360,
2010-07,7.392,
2010-10,7.787,
2011-01,7.640,
2011-04,7.745,
2011-07,7.774,
2011-10,8.155,
2012-01,7.987,
2012-04,8.237,
2012-07,8.426,
2012-10,8.500,
2013-01,8.175,
2013-04,8.186,
2013-07,8.068,
2013-10,8.395,
2014-01,8.207,
2014-04,8.161,
2014-07,8.107,
