"",BBK01.OELB18O,BBK01.OELB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:35,
2002-01,0.906,
2002-04,0.930,
2002-07,0.946,
2002-10,0.903,
2003-01,0.860,
2003-04,0.861,
2003-07,0.864,
2003-10,0.832,
2004-01,0.790,
2004-04,0.799,
2004-07,0.791,
2004-10,0.782,
2005-01,0.757,
2005-04,0.732,
2005-07,0.750,
2005-10,0.714,
2006-01,0.703,
2006-04,0.724,
2006-07,0.725,
2006-10,0.667,
2007-01,0.687,
2007-04,0.666,
2007-07,0.663,
2007-10,0.640,
2008-01,0.637,
2008-04,0.646,
2008-07,0.659,
2008-10,0.645,
2009-01,0.625,
2009-04,0.620,
2009-07,0.615,
2009-10,0.593,
2010-01,0.578,
2010-04,0.588,
2010-07,0.594,
2010-10,0.562,
2011-01,0.564,
2011-04,0.576,
2011-07,0.587,
2011-10,0.556,
2012-01,0.561,
2012-04,0.574,
2012-07,0.563,
2012-10,0.567,
2013-01,0.572,
2013-04,0.567,
2013-07,0.578,
2013-10,0.558,
2014-01,0.570,
2014-04,0.575,
2014-07,0.590,
