"",BBSF2.M.1.S.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Mixed funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:03,
2009-09,1100,
2009-10,1132,
2009-11,1045,
2009-12,275,
2010-01,213,
2010-02,193,
2010-03,182,
2010-04,212,
2010-05,318,
2010-06,281,
2010-07,354,
2010-08,407,
2010-09,525,
2010-10,616,
2010-11,648,
2010-12,718,
2011-01,712,
2011-02,753,
2011-03,1024,
2011-04,1115,
2011-05,1105,
2011-06,1175,
2011-07,1299,
2011-08,1203,
2011-09,1306,
2011-10,1391,
2011-11,1283,
2011-12,1526,
2012-01,1578,
2012-02,1671,
2012-03,1641,
2012-04,3300,
2012-05,3442,
2012-06,3322,
2012-07,2727,
2012-08,2519,
2012-09,2500,
2012-10,2131,
2012-11,1521,
2012-12,1576,
2013-01,1635,
2013-02,1566,
2013-03,1566,
2013-04,1698,
2013-05,1786,
2013-06,1665,
2013-07,1554,
2013-08,1673,
2013-09,1674,
2013-10,1853,
2013-11,1873,
2013-12,1499,
2014-01,1430,
2014-02,3040,
2014-03,3166,
2014-04,2945,
2014-05,2601,
2014-06,2554,
2014-07,2565,
2014-08,1472,
2014-09,1416,
2014-10,958,
2014-11,791,
