"",BBK01.OEAA32Q,BBK01.OEAA32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:22,
2002-01,0.236,
2002-04,0.235,
2002-07,0.222,
2002-10,0.220,
2003-01,0.214,
2003-04,0.212,
2003-07,0.207,
2003-10,0.202,
2004-01,0.197,
2004-04,0.184,
2004-07,0.178,
2004-10,0.175,
2005-01,0.173,
2005-04,0.171,
2005-07,0.164,
2005-10,0.162,
2006-01,0.155,
2006-04,0.152,
2006-07,0.146,
2006-10,0.177,
2007-01,0.176,
2007-04,0.170,
2007-07,0.154,
2007-10,0.149,
2008-01,0.143,
2008-04,0.140,
2008-07,0.134,
2008-10,0.127,
2009-01,0.123,
2009-04,0.119,
2009-07,0.117,
2009-10,0.112,
2010-01,0.109,
2010-04,0.108,
2010-07,0.102,
2010-10,0.099,
2011-01,0.097,
2011-04,0.094,
2011-07,0.078,
2011-10,0.089,
2012-01,0.086,
2012-04,0.083,
2012-07,0.079,
2012-10,0.077,
2013-01,0.074,
2013-04,0.074,
2013-07,0.069,
2013-10,0.069,
2014-01,0.065,
2014-04,0.064,
2014-07,0.063,
