"",BBK01.OEAD37M,BBK01.OEAD37M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:21,
2002-01,0.534,
2002-04,0.537,
2002-07,0.538,
2002-10,0.508,
2003-01,0.476,
2003-04,0.474,
2003-07,0.472,
2003-10,0.469,
2004-01,0.456,
2004-04,0.438,
2004-07,0.442,
2004-10,0.434,
2005-01,0.425,
2005-04,0.408,
2005-07,0.400,
2005-10,0.397,
2006-01,0.400,
2006-04,0.396,
2006-07,0.387,
2006-10,0.431,
2007-01,0.611,
2007-04,0.448,
2007-07,0.432,
2007-10,0.447,
2008-01,0.429,
2008-04,0.426,
2008-07,0.424,
2008-10,0.419,
2009-01,0.415,
2009-04,0.423,
2009-07,0.429,
2009-10,0.422,
2010-01,0.447,
2010-04,0.406,
2010-07,0.407,
2010-10,0.369,
2011-01,0.373,
2011-04,0.381,
2011-07,0.373,
2011-10,0.381,
2012-01,0.381,
2012-04,0.350,
2012-07,0.352,
2012-10,0.369,
2013-01,0.348,
2013-04,0.344,
2013-07,0.354,
2013-10,0.364,
2014-01,0.366,
2014-04,0.353,
2014-07,0.372,
