"",BBK01.OEAC05L,BBK01.OEAC05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:59,
2002-01,18.141,
2002-04,17.289,
2002-07,17.697,
2002-10,15.658,
2003-01,16.119,
2003-04,15.501,
2003-07,15.394,
2003-10,16.501,
2004-01,15.724,
2004-04,15.391,
2004-07,15.459,
2004-10,16.421,
2005-01,15.050,
2005-04,14.941,
2005-07,14.391,
2005-10,15.482,
2006-01,13.687,
2006-04,13.844,
2006-07,14.067,
2006-10,14.775,
2007-01,14.155,
2007-04,14.795,
2007-07,15.221,
2007-10,16.407,
2008-01,15.632,
2008-04,15.379,
2008-07,15.420,
2008-10,15.272,
2009-01,14.996,
2009-04,13.937,
2009-07,13.601,
2009-10,13.326,
2010-01,12.828,
2010-04,12.364,
2010-07,12.226,
2010-10,11.852,
2011-01,12.250,
2011-04,11.968,
2011-07,12.899,
2011-10,13.105,
2012-01,12.852,
2012-04,12.532,
2012-07,12.858,
2012-10,12.387,
2013-01,12.580,
2013-04,12.297,
2013-07,12.456,
2013-10,12.267,
2014-01,12.327,
2014-04,12.132,
2014-07,12.615,
