"",BBFB1.Q.N.DE.GR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:32,
1991-01,-145.552,
1991-04,-153.893,
1991-07,-169.815,
1991-10,-161.308,
1992-01,-177.144,
1992-04,-190.733,
1992-07,-168.839,
1992-10,-219.367,
1993-01,-128.222,
1993-04,-173.664,
1993-07,-161.896,
1993-10,-163.532,
1994-01,-238.499,
1994-04,-166.782,
1994-07,-166.757,
1994-10,-163.669,
1995-01,-165.363,
1995-04,-161.966,
1995-07,-164.849,
1995-10,-179.783,
1996-01,-176.482,
1996-04,-169.441,
1996-07,-172.917,
1996-10,-172.690,
1997-01,-163.280,
1997-04,-171.990,
1997-07,-169.927,
1997-10,-170.373,
1998-01,-167.468,
1998-04,-170.037,
1998-07,-171.972,
1998-10,-164.935,
1999-01,-168.372,
1999-04,-167.646,
1999-07,-167.637,
1999-10,-169.215,
2000-01,-183.590,
2000-04,-181.906,
2000-07,-178.365,
2000-10,-191.673,
2001-01,-164.543,
2001-04,-154.364,
2001-07,-155.104,
2001-10,-159.164,
2002-01,-154.002,
2002-04,-154.958,
2002-07,-153.034,
2002-10,-154.055,
2003-01,-155.184,
2003-04,-157.139,
2003-07,-163.417,
2003-10,-163.428,
2004-01,-154.874,
2004-04,-158.539,
2004-07,-161.290,
2004-10,-167.352,
2005-01,-135.794,
2005-04,-141.894,
2005-07,-142.188,
2005-10,-139.118,
2006-01,-140.523,
2006-04,-137.512,
2006-07,-139.580,
2006-10,-142.580,
2007-01,-141.014,
2007-04,-142.278,
2007-07,-143.177,
2007-10,-140.247,
2008-01,-138.462,
2008-04,-139.541,
2008-07,-140.397,
2008-10,-143.276,
2009-01,-142.961,
2009-04,-147.074,
2009-07,-152.704,
2009-10,-152.335,
2010-01,-153.427,
2010-04,-161.978,
2010-07,-157.936,
2010-10,-156.819,
2011-01,-148.504,
2011-04,-153.852,
2011-07,-150.469,
2011-10,-153.458,
2012-01,-155.480,
2012-04,-157.689,
2012-07,-157.723,
2012-10,-158.529,
2013-01,-158.837,
2013-04,-163.553,
2013-07,-123.976,
2013-10,-156.199,
2014-01,-158.411,Provisional value
2014-04,-163.235,Provisional value
2014-07,-166.741,Provisional value
