"",BBK01.OECL05H,BBK01.OECL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:45,
2002-01,0.176,
2002-04,0.177,
2002-07,0.141,
2002-10,0.151,
2003-01,0.144,
2003-04,0.163,
2003-07,0.175,
2003-10,0.191,
2004-01,0.197,
2004-04,0.238,
2004-07,0.240,
2004-10,0.249,
2005-01,0.608,
2005-04,0.593,
2005-07,0.564,
2005-10,0.546,
2006-01,0.525,
2006-04,0.497,
2006-07,0.476,
2006-10,0.458,
2007-01,0.439,
2007-04,0.435,
2007-07,0.427,
2007-10,0.419,
2008-01,0.452,
2008-04,0.475,
2008-07,0.456,
2008-10,0.510,
2009-01,0.590,
2009-04,0.572,
2009-07,0.676,
2009-10,0.689,
2010-01,0.747,
2010-04,0.785,
2010-07,0.875,
2010-10,0.868,
2011-01,0.861,
2011-04,0.786,
2011-07,0.760,
2011-10,0.754,
2012-01,0.746,
2012-04,0.757,
2012-07,0.781,
2012-10,0.822,
2013-01,0.784,
2013-04,0.717,
2013-07,0.698,
2013-10,0.672,
2014-01,0.636,
2014-04,0.619,
2014-07,0.581,
