"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:41,
2009-09,5045,
2009-10,4870,
2009-11,4917,
2009-12,5101,
2010-01,5038,
2010-02,5116,
2010-03,5405,
2010-04,5204,
2010-05,4729,
2010-06,4900,
2010-07,4773,
2010-08,4876,
2010-09,4915,
2010-10,4978,
2010-11,5295,
2010-12,5741,
2011-01,5429,
2011-02,5283,
2011-03,5074,
2011-04,5369,
2011-05,5714,
2011-06,5425,
2011-07,5400,
2011-08,4747,
2011-09,4613,
2011-10,4785,
2011-11,4703,
2011-12,5054,
2012-01,5118,
2012-02,5202,
2012-03,5341,
2012-04,5208,
2012-05,4968,
2012-06,5041,
2012-07,5340,
2012-08,5312,
2012-09,5287,
2012-10,5298,
2012-11,5480,
2012-12,5625,
2013-01,5887,
2013-02,6135,
2013-03,6380,
2013-04,6364,
2013-05,6163,
2013-06,6143,
2013-07,6359,
2013-08,6390,
2013-09,6684,
2013-10,6944,
2013-11,6923,
2013-12,7079,
2014-01,7064,
2014-02,7414,
2014-03,7373,
2014-04,7411,
2014-05,7739,
2014-06,7638,
2014-07,7628,
2014-08,7880,
2014-09,7977,
2014-10,8028,
2014-11,8291,
