"",BBK01.OEAA07Q,BBK01.OEAA07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:12,
2002-01,79.161,
2002-04,78.831,
2002-07,75.334,
2002-10,76.107,
2003-01,75.771,
2003-04,83.271,
2003-07,83.296,
2003-10,83.597,
2004-01,83.579,
2004-04,73.925,
2004-07,73.629,
2004-10,75.701,
2005-01,75.967,
2005-04,77.375,
2005-07,77.882,
2005-10,78.155,
2006-01,78.282,
2006-04,82.323,
2006-07,79.185,
2006-10,82.080,
2007-01,85.766,
2007-04,83.429,
2007-07,75.842,
2007-10,74.813,
2008-01,71.150,
2008-04,70.827,
2008-07,71.648,
2008-10,72.239,
2009-01,72.064,
2009-04,72.755,
2009-07,75.275,
2009-10,83.802,
2010-01,83.594,
2010-04,83.201,
2010-07,75.937,
2010-10,75.957,
2011-01,75.202,
2011-04,74.544,
2011-07,69.012,
2011-10,71.357,
2012-01,71.518,
2012-04,73.558,
2012-07,73.215,
2012-10,80.574,
2013-01,79.609,
2013-04,77.170,
2013-07,77.004,
2013-10,83.612,
2014-01,82.345,
2014-04,82.033,
2014-07,82.638,
