"",BBK01.OEYB17Q,BBK01.OEYB17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:11,
2002-01,13.649,
2002-04,13.607,
2002-07,12.461,
2002-10,12.427,
2003-01,12.364,
2003-04,17.179,
2003-07,16.974,
2003-10,16.687,
2004-01,16.154,
2004-04,13.510,
2004-07,13.192,
2004-10,13.099,
2005-01,12.624,
2005-04,12.504,
2005-07,12.268,
2005-10,12.085,
2006-01,12.024,
2006-04,14.729,
2006-07,11.774,
2006-10,11.640,
2007-01,12.277,
2007-04,11.056,
2007-07,5.048,
2007-10,4.996,
2008-01,4.917,
2008-04,4.854,
2008-07,4.830,
2008-10,4.825,
2009-01,4.718,
2009-04,4.611,
2009-07,4.559,
2009-10,4.665,
2010-01,4.608,
2010-04,4.604,
2010-07,4.106,
2010-10,4.199,
2011-01,4.253,
2011-04,4.211,
2011-07,4.374,
2011-10,4.129,
2012-01,4.031,
2012-04,4.018,
2012-07,4.066,
2012-10,4.018,
2013-01,3.991,
2013-04,4.040,
2013-07,4.106,
2013-10,4.137,
2014-01,4.206,
2014-04,4.235,
2014-07,4.197,
