"",BBK01.PQN355,BBK01.PQN355_FLAGS
"",Lending to domestic enterprises / Short-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:28,
1968-10,0.368,
1969-01,0.580,
1969-04,0.586,
1969-07,0.549,
1969-10,0.557,
1970-01,0.663,
1970-04,0.843,
1970-07,0.658,
1970-10,0.637,
1971-01,0.640,
1971-04,0.533,
1971-07,0.529,
1971-10,0.595,
1972-01,0.550,
1972-04,0.670,
1972-07,0.676,
1972-10,0.810,
1973-01,0.878,
1973-04,0.946,
1973-07,0.966,
1973-10,0.930,
1974-01,0.924,
1974-04,1.103,
1974-07,1.121,
1974-10,1.243,
1975-01,1.367,
1975-04,1.384,
1975-07,1.383,
1975-10,1.401,
1976-01,1.344,
1976-04,1.447,
1976-07,1.614,
1976-10,1.377,
1977-01,1.270,
1977-04,1.281,
1977-07,1.218,
1977-10,1.204,
1978-01,1.062,
1978-04,1.003,
1978-07,1.011,
1978-10,0.898,
1979-01,0.821,
1979-04,0.805,
1979-07,0.808,
1979-10,0.899,
1980-01,0.785,
1980-04,0.866,
1980-07,0.910,
1980-10,1.041,
1981-01,0.877,
1981-04,0.899,
1981-07,0.974,
1981-10,1.150,
1982-01,1.047,
1982-04,1.163,
1982-07,1.218,
1982-10,1.225,
1983-01,1.222,
1983-04,1.487,
1983-07,1.402,
1983-10,1.427,
1984-01,1.392,
1984-04,1.285,
1984-07,1.328,
1984-10,1.448,
1985-01,1.461,
1985-04,1.529,
1985-07,1.539,
1985-10,1.571,
1986-01,1.510,
1986-04,1.524,
1986-07,1.527,
1986-10,1.467,
1987-01,1.288,
1987-04,1.192,
1987-07,1.331,
1987-10,1.396,
1988-01,1.347,
1988-04,1.138,
1988-07,1.305,
1988-10,1.388,
1989-01,0.982,
1989-04,1.073,
1989-07,0.965,
1989-10,1.355,
1990-01,1.060,
1990-04,1.351,
1990-07,1.969,
1990-10,2.010,
1991-01,2.118,
1991-04,2.320,
1991-07,2.379,
1991-10,2.274,
1992-01,2.498,
1992-04,2.669,
1992-07,2.816,
1992-10,2.905,
1993-01,10.353,
1993-04,8.167,
1993-07,6.356,
1993-10,3.677,
1994-01,3.854,
1994-04,2.448,
1994-07,2.591,
1994-10,2.974,
1995-01,3.238,
1995-04,3.342,
1995-07,3.206,
1995-10,3.946,
1996-01,3.265,
1996-04,3.258,
1996-07,3.467,
1996-10,3.917,
1997-01,3.696,
1997-04,3.585,
1997-07,3.440,
1997-10,3.821,
1998-01,4.748,
1998-04,6.011,
1998-07,6.334,
1998-10,5.884,
1999-01,4.723,
1999-04,4.271,
1999-07,4.346,
1999-10,6.486,
2000-01,4.149,
2000-04,3.056,
2000-07,3.318,
2000-10,3.857,
2001-01,3.570,
2001-04,2.930,
2001-07,2.883,
2001-10,3.713,
2002-01,2.769,
2002-04,3.078,
2002-07,2.931,
2002-10,2.844,
2003-01,2.465,
2003-04,2.832,
2003-07,2.609,
2003-10,3.878,
2004-01,2.725,
2004-04,2.441,
2004-07,2.146,
2004-10,3.391,
2005-01,2.658,
2005-04,2.906,
2005-07,2.454,
2005-10,3.296,
2006-01,2.395,
2006-04,3.012,
2006-07,2.686,
2006-10,3.560,
2007-01,1.716,
2007-04,2.028,
2007-07,2.403,
2007-10,6.663,
2008-01,4.917,
2008-04,3.449,
2008-07,8.859,
2008-10,13.616,
2009-01,22.224,
2009-04,26.333,
2009-07,17.583,
2009-10,19.887,
2010-01,24.579,
2010-04,22.941,
2010-07,20.107,
2010-10,19.122,
2011-01,14.840,
2011-04,21.791,
2011-07,22.369,
2011-10,25.720,
2012-01,27.134,
2012-04,24.988,
2012-07,28.205,
2012-10,30.772,
2013-01,31.417,
2013-04,27.497,
2013-07,1.206,
2013-10,1.216,
2014-01,1.164,
2014-04,1.040,
2014-07,0.942,
2014-10,0.926,
