"",BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:39,
1991-01,-22.259,
1991-04,47.930,
1991-07,117.132,
1991-10,59.804,
1992-01,57.797,
1992-04,81.759,
1992-07,67.510,
1992-10,124.283,
1993-01,98.196,
1993-04,93.879,
1993-07,76.049,
1993-10,165.640,
1994-01,94.034,
1994-04,76.805,
1994-07,269.946,
1994-10,211.955,
1995-01,101.182,
1995-04,656.633,
1995-07,205.210,
1995-10,321.243,
1996-01,355.708,
1996-04,234.362,
1996-07,492.156,
1996-10,394.565,
1997-01,-306.544,
1997-04,52.090,
1997-07,85.334,
1997-10,359.419,
1998-01,363.704,
1998-04,951.905,
1998-07,436.987,
1998-10,581.162,
1999-01,-75.366,
1999-04,521.682,
1999-07,458.261,
1999-10,1505.883,
2000-01,391.253,
2000-04,1383.468,
2000-07,1252.656,
2000-10,1550.868,
2001-01,8.835,
2001-04,1447.043,
2001-07,372.292,
2001-10,349.792,
2002-01,378.168,
2002-04,524.913,
2002-07,443.346,
2002-10,-195.378,
2003-01,139.593,
2003-04,-827.255,
2003-07,-405.766,
2003-10,-293.150,
2004-01,891.050,
2004-04,838.818,
2004-07,280.230,
2004-10,795.780,
2005-01,684.178,
2005-04,412.894,
2005-07,269.802,
2005-10,208.987,
2006-01,303.064,
2006-04,1063.120,
2006-07,-12.820,
2006-10,514.127,
2007-01,2717.919,
2007-04,1568.290,
2007-07,479.720,
2007-10,-1545.041,
2008-01,504.561,
2008-04,960.344,
2008-07,-326.337,
2008-10,-405.436,
2009-01,-23.303,
2009-04,-271.115,
2009-07,648.599,
2009-10,-234.073,
2010-01,1132.513,
2010-04,834.907,
2010-07,553.827,
2010-10,1484.030,
2011-01,1305.152,
2011-04,335.514,
2011-07,770.588,
2011-10,1556.681,
2012-01,709.659,
2012-04,926.116,
2012-07,269.563,
2012-10,207.204,
2013-01,916.538,
2013-04,377.183,
2013-07,173.635,
2013-10,472.603,
2014-01,924.030,Provisional value
2014-04,458.801,Provisional value
2014-07,338.547,Provisional value
2014-10,-708.027,Provisional value
