"",BBK01.OECB16O,BBK01.OECB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:04,
2002-01,0.778,
2002-04,0.760,
2002-07,0.748,
2002-10,0.732,
2003-01,0.722,
2003-04,0.710,
2003-07,0.696,
2003-10,0.663,
2004-01,0.655,
2004-04,0.657,
2004-07,0.641,
2004-10,0.623,
2005-01,0.651,
2005-04,0.642,
2005-07,0.643,
2005-10,0.632,
2006-01,0.609,
2006-04,0.600,
2006-07,0.584,
2006-10,0.567,
2007-01,0.570,
2007-04,0.578,
2007-07,0.565,
2007-10,0.549,
2008-01,0.555,
2008-04,0.541,
2008-07,0.531,
2008-10,0.520,
2009-01,0.512,
2009-04,0.544,
2009-07,0.529,
2009-10,0.518,
2010-01,0.512,
2010-04,0.500,
2010-07,0.498,
2010-10,0.505,
2011-01,0.452,
2011-04,0.432,
2011-07,0.420,
2011-10,0.398,
2012-01,0.374,
2012-04,0.364,
2012-07,0.358,
2012-10,0.348,
2013-01,0.339,
2013-04,0.329,
2013-07,0.377,
2013-10,0.376,
2014-01,0.369,
2014-04,0.366,
2014-07,0.321,
