"",BBK01.OELB07N,BBK01.OELB07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:19,
2002-01,6.786,
2002-04,6.701,
2002-07,6.695,
2002-10,6.597,
2003-01,6.426,
2003-04,6.287,
2003-07,6.204,
2003-10,6.124,
2004-01,6.005,
2004-04,5.985,
2004-07,5.947,
2004-10,5.885,
2005-01,5.764,
2005-04,5.698,
2005-07,5.640,
2005-10,5.503,
2006-01,5.398,
2006-04,5.321,
2006-07,5.323,
2006-10,5.201,
2007-01,5.128,
2007-04,5.123,
2007-07,5.211,
2007-10,5.117,
2008-01,5.128,
2008-04,5.143,
2008-07,5.205,
2008-10,5.948,
2009-01,6.058,
2009-04,6.202,
2009-07,6.351,
2009-10,6.409,
2010-01,6.482,
2010-04,6.454,
2010-07,6.565,
2010-10,6.550,
2011-01,6.610,
2011-04,6.668,
2011-07,6.701,
2011-10,6.461,
2012-01,6.630,
2012-04,5.705,
2012-07,5.728,
2012-10,5.525,
2013-01,5.546,
2013-04,5.630,
2013-07,5.686,
2013-10,5.501,
2014-01,5.452,
2014-04,5.365,
2014-07,5.472,
