"",BBDL1.M.DE1.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE1.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"","Reported vacancies, total / West Germany / Total / Absolute value / Calendar and seasonally adjusted",
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:15,
1999-12,377,
2000-01,381,
2000-02,385,
2000-03,386,
2000-04,398,
2000-05,407,
2000-06,406,
2000-07,405,
2000-08,402,
2000-09,405,
2000-10,408,
2000-11,413,
2000-12,419,
2001-01,411,
2001-02,405,
2001-03,401,
2001-04,393,
2001-05,382,
2001-06,376,
2001-07,367,
2001-08,363,
2001-09,359,
2001-10,351,
2001-11,341,
2001-12,334,
2002-01,337,
2002-02,339,
2002-03,340,
2002-04,338,
2002-05,332,
2002-06,324,
2002-07,309,
2002-08,302,
2002-09,292,
2002-10,283,
2002-11,274,
2002-12,266,
2003-01,260,
2003-02,249,
2003-03,241,
2003-04,235,
2003-05,218,
2003-06,210,
2003-07,208,
2003-08,206,
2003-09,195,
2003-10,189,
2003-11,188,
2003-12,182,
2004-01,178,
2004-02,174,
2004-03,168,
2004-04,167,
2004-05,168,
2004-06,168,
2004-07,167,
2004-08,167,
2004-09,164,
2004-10,164,
2004-11,164,
2004-12,165,
2005-01,173,
2005-02,176,
2005-03,182,
2005-04,187,
2005-05,191,
2005-06,195,
2005-07,204,
2005-08,208,
2005-09,214,
2005-10,218,
2005-11,218,
2005-12,219,
2006-01,222,
2006-02,227,
2006-03,233,
2006-04,243,
2006-05,259,
2006-06,270,
2006-07,276,
2006-08,281,
2006-09,287,
2006-10,292,
2006-11,300,
2006-12,310,
2007-01,315,
2007-02,325,
2007-03,331,
2007-04,337,
2007-05,336,
2007-06,334,
2007-07,332,
2007-08,330,
2007-09,326,
2007-10,324,
2007-11,322,
2007-12,322,
2008-01,318,
2008-02,318,
2008-03,319,
2008-04,318,
2008-05,316,
2008-06,324,
2008-07,323,
2008-08,321,
2008-09,319,
2008-10,314,
2008-11,306,
2008-12,288,
2009-01,276,
2009-02,267,
2009-03,255,
2009-04,241,
2009-05,230,
2009-06,225,
2009-07,222,
2009-08,225,
2009-09,229,
2009-10,232,
2009-11,236,
2009-12,243,
2010-01,245,
2010-02,251,
2010-03,258,
2010-04,266,
2010-05,280,
2010-06,288,
2010-07,300,
2010-08,307,
2010-09,311,
2010-10,320,
2010-11,326,
2010-12,335,
2011-01,343,
2011-02,355,
2011-03,363,
2011-04,375,
2011-05,380,
2011-06,382,
2011-07,385,
2011-08,388,
2011-09,395,
2011-10,401,
2011-11,407,
2011-12,410,
2012-01,412,
2012-02,403,
2012-03,402,
2012-04,402,
2012-05,400,
2012-06,397,
2012-07,391,
2012-08,385,
2012-09,380,
2012-10,375,
2012-11,369,
2012-12,362,
2013-01,376,
2013-02,376,
2013-03,374,
2013-04,367,
2013-05,365,
2013-06,362,
2013-07,364,
2013-08,364,
2013-09,367,
2013-10,367,
2013-11,371,
2013-12,376,
2014-01,376,
2014-02,378,
2014-03,379,
2014-04,383,
2014-05,381,
2014-06,387,
2014-07,389,
2014-08,398,
2014-09,402,
2014-10,410,
2014-11,417,
2014-12,423,
2015-01,427,
2015-02,429,
