"",BBK01.OEAC04U,BBK01.OEAC04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:55,
2002-01,0.910,
2002-04,0.897,
2002-07,0.859,
2002-10,0.834,
2003-01,0.823,
2003-04,0.816,
2003-07,0.788,
2003-10,0.744,
2004-01,0.744,
2004-04,0.735,
2004-07,0.717,
2004-10,0.681,
2005-01,0.698,
2005-04,0.696,
2005-07,0.684,
2005-10,0.646,
2006-01,0.643,
2006-04,0.648,
2006-07,0.626,
2006-10,0.590,
2007-01,0.592,
2007-04,0.585,
2007-07,0.576,
2007-10,0.557,
2008-01,0.566,
2008-04,0.568,
2008-07,0.562,
2008-10,0.551,
2009-01,0.593,
2009-04,0.663,
2009-07,0.674,
2009-10,0.641,
2010-01,0.674,
2010-04,0.685,
2010-07,0.677,
2010-10,0.663,
2011-01,0.694,
2011-04,0.701,
2011-07,0.695,
2011-10,0.673,
2012-01,0.708,
2012-04,0.714,
2012-07,0.699,
2012-10,0.681,
2013-01,0.707,
2013-04,0.707,
2013-07,0.701,
2013-10,0.664,
2014-01,0.656,
2014-04,0.637,
2014-07,0.623,
