"",BBK01.OEAF22O,BBK01.OEAF22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:00,
2002-01,3.183,
2002-04,3.168,
2002-07,3.150,
2002-10,3.086,
2003-01,3.006,
2003-04,2.980,
2003-07,2.947,
2003-10,2.888,
2004-01,2.866,
2004-04,2.867,
2004-07,2.833,
2004-10,2.748,
2005-01,2.728,
2005-04,2.715,
2005-07,2.668,
2005-10,2.612,
2006-01,2.560,
2006-04,2.529,
2006-07,2.582,
2006-10,2.548,
2007-01,2.532,
2007-04,2.522,
2007-07,2.497,
2007-10,2.448,
2008-01,2.386,
2008-04,2.405,
2008-07,2.375,
2008-10,2.313,
2009-01,2.250,
2009-04,2.272,
2009-07,2.276,
2009-10,2.263,
2010-01,2.277,
2010-04,2.369,
2010-07,2.418,
2010-10,2.434,
2011-01,2.462,
2011-04,2.526,
2011-07,2.617,
2011-10,2.616,
2012-01,2.863,
2012-04,3.023,
2012-07,2.998,
2012-10,2.913,
2013-01,2.836,
2013-04,2.782,
2013-07,2.744,
2013-10,2.473,
2014-01,2.403,
2014-04,2.370,
2014-07,2.401,
