"",BBK01.OEAE36Q,BBK01.OEAE36Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:31,
2002-01,1.612,
2002-04,1.675,
2002-07,1.574,
2002-10,1.509,
2003-01,1.597,
2003-04,2.118,
2003-07,2.162,
2003-10,2.089,
2004-01,2.317,
2004-04,2.513,
2004-07,2.049,
2004-10,2.065,
2005-01,2.057,
2005-04,1.920,
2005-07,2.031,
2005-10,2.021,
2006-01,2.004,
2006-04,2.185,
2006-07,2.006,
2006-10,2.129,
2007-01,2.195,
2007-04,1.932,
2007-07,1.629,
2007-10,1.627,
2008-01,1.455,
2008-04,1.458,
2008-07,1.450,
2008-10,1.450,
2009-01,1.150,
2009-04,1.068,
2009-07,1.044,
2009-10,1.001,
2010-01,1.115,
2010-04,1.112,
2010-07,1.153,
2010-10,1.140,
2011-01,1.532,
2011-04,1.568,
2011-07,1.368,
2011-10,1.051,
2012-01,1.046,
2012-04,1.037,
2012-07,1.099,
2012-10,1.105,
2013-01,1.057,
2013-04,1.019,
2013-07,0.967,
2013-10,1.010,
2014-01,0.926,
2014-04,0.922,
2014-07,0.930,
