"",BBSF2.M.1.S.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Loans received,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:06,
2009-09,70,
2009-10,117,
2009-11,127,
2009-12,98,
2010-01,303,
2010-02,127,
2010-03,112,
2010-04,102,
2010-05,101,
2010-06,89,
2010-07,175,
2010-08,150,
2010-09,336,
2010-10,301,
2010-11,210,
2010-12,113,
2011-01,212,
2011-02,197,
2011-03,569,
2011-04,233,
2011-05,217,
2011-06,545,
2011-07,90,
2011-08,277,
2011-09,211,
2011-10,236,
2011-11,247,
2011-12,33,
2012-01,84,
2012-02,144,
2012-03,549,
2012-04,394,
2012-05,179,
2012-06,206,
2012-07,135,
2012-08,70,
2012-09,73,
2012-10,111,
2012-11,629,
2012-12,713,
2013-01,751,
2013-02,815,
2013-03,748,
2013-04,913,
2013-05,871,
2013-06,788,
2013-07,755,
2013-08,837,
2013-09,675,
2013-10,970,
2013-11,755,
2013-12,758,
2014-01,890,
2014-02,1194,
2014-03,512,
2014-04,662,
2014-05,553,
2014-06,673,
2014-07,906,
2014-08,834,
2014-09,1502,
2014-10,1112,
2014-11,1140,
