"",BBK01.OEHI10Q,BBK01.OEHI10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:24,
2002-01,0.207,
2002-04,0.207,
2002-07,0.200,
2002-10,0.197,
2003-01,0.197,
2003-04,0.192,
2003-07,0.187,
2003-10,0.184,
2004-01,0.177,
2004-04,0.171,
2004-07,0.168,
2004-10,0.164,
2005-01,0.161,
2005-04,0.159,
2005-07,0.157,
2005-10,0.150,
2006-01,0.143,
2006-04,0.139,
2006-07,0.135,
2006-10,0.127,
2007-01,0.124,
2007-04,0.128,
2007-07,0.121,
2007-10,0.114,
2008-01,0.109,
2008-04,0.105,
2008-07,0.097,
2008-10,0.094,
2009-01,0.090,
2009-04,0.086,
2009-07,0.084,
2009-10,0.079,
2010-01,0.077,
2010-04,0.075,
2010-07,0.072,
2010-10,0.070,
2011-01,0.067,
2011-04,0.064,
2011-07,0.061,
2011-10,0.057,
2012-01,0.054,
2012-04,0.052,
2012-07,0.050,
2012-10,0.048,
2013-01,0.047,
2013-04,0.043,
2013-07,0.043,
2013-10,0.042,
2014-01,0.040,
2014-04,0.037,
2014-07,0.036,
