"",BBK01.OEAH49N,BBK01.OEAH49N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:29,
2002-01,0.113,
2002-04,0.107,
2002-07,0.111,
2002-10,0.114,
2003-01,0.108,
2003-04,0.117,
2003-07,0.112,
2003-10,0.103,
2004-01,0.107,
2004-04,0.108,
2004-07,0.119,
2004-10,0.081,
2005-01,0.087,
2005-04,0.088,
2005-07,0.086,
2005-10,0.088,
2006-01,0.094,
2006-04,0.094,
2006-07,0.097,
2006-10,0.095,
2007-01,0.089,
2007-04,0.089,
2007-07,0.083,
2007-10,0.089,
2008-01,0.090,
2008-04,0.084,
2008-07,0.086,
2008-10,0.168,
2009-01,0.203,
2009-04,0.356,
2009-07,0.400,
2009-10,0.422,
2010-01,0.438,
2010-04,0.436,
2010-07,0.433,
2010-10,0.436,
2011-01,0.445,
2011-04,0.441,
2011-07,0.460,
2011-10,0.402,
2012-01,0.498,
2012-04,0.531,
2012-07,0.534,
2012-10,0.554,
2013-01,0.560,
2013-04,0.603,
2013-07,0.618,
2013-10,0.733,
2014-01,0.823,
2014-04,0.818,
2014-07,0.819,
