"",BBK01.OEAF21M,BBK01.OEAF21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:32,
2002-01,11.751,
2002-04,11.815,
2002-07,12.058,
2002-10,12.259,
2003-01,12.197,
2003-04,12.455,
2003-07,12.810,
2003-10,12.635,
2004-01,12.470,
2004-04,12.742,
2004-07,12.758,
2004-10,11.677,
2005-01,12.933,
2005-04,11.710,
2005-07,11.423,
2005-10,11.578,
2006-01,11.519,
2006-04,12.213,
2006-07,12.602,
2006-10,12.363,
2007-01,11.996,
2007-04,11.443,
2007-07,11.700,
2007-10,11.675,
2008-01,10.859,
2008-04,10.786,
2008-07,10.229,
2008-10,10.373,
2009-01,10.878,
2009-04,11.862,
2009-07,12.627,
2009-10,13.340,
2010-01,13.639,
2010-04,13.467,
2010-07,13.915,
2010-10,14.355,
2011-01,14.045,
2011-04,13.974,
2011-07,13.843,
2011-10,14.016,
2012-01,14.325,
2012-04,14.982,
2012-07,15.414,
2012-10,15.855,
2013-01,15.387,
2013-04,15.968,
2013-07,16.004,
2013-10,16.408,
2014-01,16.738,
2014-04,16.140,
2014-07,16.753,
