"",BBK01.OECK05L,BBK01.OECK05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:05,
2002-01,-0.002,
2002-04,-,Nothing exists
2002-07,0.001,
2002-10,-,Nothing exists
2003-01,-0.002,
2003-04,0.005,
2003-07,0.005,
2003-10,0.006,
2004-01,0.007,
2004-04,0.007,
2004-07,0.005,
2004-10,0.005,
2005-01,0.008,
2005-04,0.009,
2005-07,0.009,
2005-10,0.009,
2006-01,0.009,
2006-04,0.011,
2006-07,0.012,
2006-10,0.012,
2007-01,0.011,
2007-04,0.008,
2007-07,0.010,
2007-10,0.010,
2008-01,0.011,
2008-04,0.010,
2008-07,0.021,
2008-10,0.038,
2009-01,0.061,
2009-04,0.063,
2009-07,0.068,
2009-10,0.085,
2010-01,0.081,
2010-04,0.071,
2010-07,0.055,
2010-10,0.057,
2011-01,0.059,
2011-04,0.056,
2011-07,0.059,
2011-10,0.073,
2012-01,0.068,
2012-04,0.069,
2012-07,0.097,
2012-10,0.085,
2013-01,0.075,
2013-04,0.038,
2013-07,0.028,
2013-10,0.028,
2014-01,0.026,
2014-04,0.024,
2014-07,0.024,
