"",BBSF2.M.1.S.I0122.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:10,
2009-09,265,
2009-10,238,
2009-11,272,
2009-12,576,
2010-01,279,
2010-02,691,
2010-03,472,
2010-04,171,
2010-05,241,
2010-06,228,
2010-07,365,
2010-08,282,
2010-09,217,
2010-10,355,
2010-11,189,
2010-12,492,
2011-01,67,
2011-02,65,
2011-03,52,
2011-04,25,
2011-05,32,
2011-06,282,
2011-07,77,
2011-08,70,
2011-09,407,
2011-10,113,
2011-11,264,
2011-12,943,
2012-01,113,
2012-02,391,
2012-03,109,
2012-04,98,
2012-05,100,
2012-06,396,
2012-07,163,
2012-08,280,
2012-09,150,
2012-10,294,
2012-11,457,
2012-12,784,
2013-01,497,
2013-02,423,
2013-03,1136,
2013-04,405,
2013-05,182,
2013-06,556,
2013-07,263,
2013-08,106,
2013-09,680,
2013-10,384,
2013-11,145,
2013-12,329,
2014-01,328,
2014-02,279,
2014-03,147,
2014-04,113,
2014-05,193,
2014-06,138,
2014-07,363,
2014-08,158,
2014-09,44,
2014-10,175,
2014-11,230,
