"",BBEX3.M.EGP.USD.CA.AC.A01,BBEX3.M.EGP.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Egypt / USD 1 = EGP ... (middle),
unit,EGP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:13,
1992-01,3.32805,
1992-02,3.32650,
1992-03,3.32850,
1992-04,3.32850,
1992-05,3.33050,
1992-06,3.33050,
1992-07,3.32340,
1992-08,3.32250,
1992-09,3.32750,
1992-10,3.33255,
1992-11,3.33455,
1992-12,3.34665,
1993-01,3.34665,
1993-02,3.35015,
1993-03,3.34865,
1993-04,3.34565,
1993-05,3.34955,
1993-06,3.35865,
1993-07,3.35965,
1993-08,3.36335,
1993-09,3.36540,
1993-10,3.36840,
1993-11,3.37040,
1993-12,3.37525,
1994-01,3.37575,
1994-02,3.38125,
1994-03,3.38200,
1994-04,3.38525,
1994-05,3.38875,
1994-06,3.38625,
1994-07,3.38175,
1994-08,3.38525,
1994-09,3.38575,
1994-10,3.38975,
1994-11,3.39480,
1994-12,3.39255,
1995-01,3.39355,
1995-02,3.39505,
1995-03,3.39305,
1995-04,3.39735,
1995-05,3.39745,
1995-06,3.39845,
1995-07,3.39445,
1995-08,3.39745,
1995-09,3.39295,
1995-10,3.39695,
1995-11,3.39445,
1995-12,3.39445,
1996-01,3.39645,
1996-02,3.39295,
1996-03,3.39595,
1996-04,3.39645,
1996-05,3.39345,
1996-06,3.39545,
1996-07,3.39445,
1996-08,3.39345,
1996-09,3.39545,
1996-10,3.39495,
1996-11,3.39295,
1996-12,3.39295,
1997-01,3.39395,
1997-02,3.39350,
1997-03,3.39425,
1997-04,3.39345,
1997-05,3.39395,
1997-06,3.39495,
1997-07,3.39495,
1997-08,3.39345,
1997-09,3.39495,
1997-10,3.39495,
1997-11,3.39470,
1997-12,3.39595,
1998-01,3.39445,
1998-02,3.39495,
1998-03,3.39545,
1998-04,3.39640,
1998-05,3.39295,
1998-06,3.39345,
1998-07,3.39445,
1998-08,3.39345,
1998-09,3.39700,
1998-10,3.40100,
1998-11,3.40490,
1998-12,3.40690,
1999-01,3.40690,
1999-02,3.40890,
1999-03,3.40890,
1999-04,3.40890,
1999-05,3.41290,
1999-06,3.41290,
1999-07,3.41290,
1999-08,3.41290,
1999-09,3.41290,
1999-10,3.41290,
1999-11,3.41290,
1999-12,3.42000,
2000-01,3.42300,
2000-02,3.42800,
2000-03,3.43200,
2000-04,3.43400,
2000-05,3.44350,
2000-06,3.47100,
2000-07,3.48850,
2000-08,3.50950,
2000-09,3.56250,
2000-10,3.70000,
2000-11,3.76750,
2000-12,3.76750,
2001-01,3.83000,
2001-02,3.84500,
2001-03,3.86000,
2001-04,3.85000,
2001-05,3.86000,
2001-06,3.86500,
2001-07,3.93000,
2001-08,4.26000,
2001-09,4.25000,
2001-10,4.26000,
2001-11,4.26475,
2001-12,4.54000,
2002-01,4.57000,
2002-02,4.60000,
2002-03,4.60000,
2002-04,4.60000,
2002-05,4.60000,
2002-06,4.60000,
2002-07,4.60000,
2002-08,4.60000,
2002-09,4.60000,
2002-10,4.60000,
2002-11,4.61000,
2002-12,4.61765,
2003-01,5.36500,comment
2003-02,5.56750,
2003-03,5.73500,
2003-04,5.88500,
2003-05,5.97000,
2003-06,6.05125,
2003-07,6.11000,
2003-08,6.15000,
2003-09,6.11750,
2003-10,6.11750,
2003-11,6.12750,
2003-12,6.13500,
2004-01,6.15500,
2004-02,6.15500,
2004-03,6.17000,
2004-04,6.17000,
2004-05,6.17250,
2004-06,6.17250,
2004-07,6.17500,
2004-08,6.17000,
2004-09,6.22000,
2004-10,6.23375,
2004-11,6.21000,
2004-12,6.09500,
2005-01,5.84000,
2005-02,5.79500,
2005-03,5.79500,
2005-04,5.79250,
2005-05,5.79250,
2005-06,5.79250,
2005-07,5.77500,
2005-08,5.77250,
2005-09,5.76625,
2005-10,5.76250,
2005-11,5.76250,
2005-12,5.74375,
2006-01,5.73250,
2006-02,5.73500,
2006-03,5.74250,
2006-04,5.75125,
2006-05,5.76500,
2006-06,5.76125,
2006-07,5.74625,
2006-08,5.74625,
2006-09,5.74125,
2006-10,5.73500,
2006-11,5.72250,
2006-12,5.71375,
2007-01,5.70000,
2007-02,5.70000,
2007-03,5.70250,
2007-04,5.68250,
2007-05,5.70000,
2007-06,5.70000,
2007-07,5.65000,
2007-08,5.65500,
2007-09,5.59000,
2007-10,5.52000,
2007-11,5.53250,
2007-12,5.52125,
2008-01,5.56000,
2008-02,5.49500,
2008-03,5.45750,
2008-04,5.38000,
2008-05,5.34875,
2008-06,5.33000,
2008-07,5.30875,
2008-08,5.37500,
2008-09,5.46500,
2008-10,5.57500,
2008-11,5.52000,
2008-12,5.51250,
2009-01,5.56500,
2009-02,5.61750,
2009-03,5.64250,
2009-04,5.63500,
2009-05,5.62000,
2009-06,5.60000,
2009-07,5.54650,
2009-08,5.52875,
2009-09,5.50375,
2009-10,5.47250,
2009-11,5.46500,
2009-12,5.49500,
2010-01,5.46500,
2010-02,5.48750,
2010-03,5.50750,
2010-04,5.56250,
2010-05,5.66500,
2010-06,5.69750,
2010-07,5.70750,
2010-08,5.71250,
2010-09,5.70250,
2010-10,5.78250,
2010-11,5.79000,
2010-12,5.80750,
2011-01,5.85750,
2011-02,5.89400,
2011-03,5.96500,
2011-04,5.94750,
2011-05,5.94750,
2011-06,5.97500,
2011-07,5.95875,
2011-08,5.94875,
2011-09,5.97000,
2011-10,5.97250,
2011-11,6.01000,
2011-12,6.03375,
2012-01,6.03300,
2012-02,6.03600,
2012-03,6.04825,
2012-04,6.05475,
2012-05,6.05050,
2012-06,6.06725,
2012-07,6.08050,
2012-08,6.10550,
2012-09,6.09875,
2012-10,6.12000,
2012-11,6.12000,
2012-12,6.38935,
2013-01,6.73035,
2013-02,6.75535,
2013-03,6.81805,
2013-04,6.94945,
2013-05,6.99875,
2013-06,7.03435,
2013-07,7.01585,
2013-08,7.00065,
2013-09,6.90655,
2013-10,6.90425,
2013-11,6.90235,
2013-12,6.96355,
2014-01,6.97665,
2014-02,6.97565,
2014-03,6.98245,
2014-04,7.02255,
2014-05,7.16535,
2014-06,7.16505,
2014-07,7.16505,
2014-08,7.16505,
2014-09,7.16505,
2014-10,7.16505,
2014-11,7.16505,
2014-12,7.16505,
2015-01,7.59005,
"",General: *) Classified as a free market rate until the end of 1993.,
"","Source: Calculated on the basis of the buying and selling rates of the National Bank of Egypt, Cairo.",
"",Comment on 2003-01: Exchange rate floated as from 29 January 2003.,
