"",BBNZ1.Q.DE.Y.H.0103.A,BBNZ1.Q.DE.Y.H.0103.A_FLAGS
"",Germany / National accounts / Use of GDP / Private consumption / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:51,
1991-01,81.64,
1991-04,82.46,
1991-07,80.23,
1991-10,82.30,
1992-01,83.84,
1992-04,83.39,
1992-07,83.52,
1992-10,85.94,
1993-01,84.12,
1993-04,84.19,
1993-07,84.92,
1993-10,85.87,
1994-01,86.13,
1994-04,85.78,
1994-07,86.58,
1994-10,87.13,
1995-01,87.37,
1995-04,88.53,
1995-07,88.45,
1995-10,88.46,
1996-01,88.78,
1996-04,89.20,
1996-07,89.46,
1996-10,89.51,
1997-01,89.86,
1997-04,90.41,
1997-07,89.65,
1997-10,90.38,
1998-01,90.83,
1998-04,90.38,
1998-07,91.17,
1998-10,92.13,
1999-01,92.98,
1999-04,92.94,
1999-07,93.20,
1999-10,94.43,
2000-01,94.71,
2000-04,95.80,
2000-07,95.86,
2000-10,95.32,
2001-01,96.92,
2001-04,97.15,
2001-07,97.32,
2001-10,96.71,
2002-01,96.01,
2002-04,95.99,
2002-07,96.29,
2002-10,96.75,
2003-01,96.46,
2003-04,96.40,
2003-07,96.36,
2003-10,96.29,
2004-01,96.93,
2004-04,96.72,
2004-07,96.53,
2004-10,97.29,
2005-01,97.19,
2005-04,97.26,
2005-07,97.41,
2005-10,97.56,
2006-01,98.27,
2006-04,98.59,
2006-07,98.56,
2006-10,100.22,
2007-01,98.17,
2007-04,98.98,
2007-07,99.18,
2007-10,99.18,
2008-01,99.31,
2008-04,99.27,
2008-07,99.29,
2008-10,99.28,
2009-01,99.85,
2009-04,99.91,
2009-07,98.76,
2009-10,99.30,
2010-01,99.38,
2010-04,99.80,
2010-07,99.91,
2010-10,100.76,
2011-01,102.21,
2011-04,101.44,
2011-07,102.46,
2011-10,102.84,
2012-01,102.71,
2012-04,102.86,
2012-07,102.84,
2012-10,103.05,
2013-01,103.30,
2013-04,103.93,
2013-07,104.21,
2013-10,103.90,
2014-01,104.57,
2014-04,104.52,
2014-07,105.31,
2014-10,106.10,
