"",BBSF2.M.1.S.00000.SON01.T.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.T.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Not defined / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:40,
2009-09,8,
2009-10,8,
2009-11,9,
2009-12,10,
2010-01,10,
2010-02,10,
2010-03,11,
2010-04,10,
2010-05,10,
2010-06,11,
2010-07,12,
2010-08,12,
2010-09,291,
2010-10,294,
2010-11,284,
2010-12,288,
2011-01,295,
2011-02,296,
2011-03,293,
2011-04,299,
2011-05,300,
2011-06,406,
2011-07,402,
2011-08,395,
2011-09,396,
2011-10,481,
2011-11,469,
2011-12,480,
2012-01,484,
2012-02,495,
2012-03,499,
2012-04,495,
2012-05,486,
2012-06,493,
2012-07,507,
2012-08,513,
2012-09,517,
2012-10,519,
2012-11,523,
2012-12,529,
2013-01,540,
2013-02,542,
2013-03,552,
2013-04,564,
2013-05,569,
2013-06,552,
2013-07,565,
2013-08,560,
2013-09,576,
2013-10,593,
2013-11,605,
2013-12,610,
2014-01,608,
2014-02,621,
2014-03,627,
2014-04,634,
2014-05,660,
2014-06,664,
2014-07,665,
2014-08,708,
2014-09,770,
2014-10,769,
2014-11,784,
