"",BBEX3.D.THB.EUR.BB.AC.000,BBEX3.D.THB.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = THB ... / Thailand,
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:57,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,42.680,
1999-01-05,42.505,
1999-01-06,42.695,
1999-01-07,42.168,
1999-01-08,42.559,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,41.957,
1999-01-12,41.985,
1999-01-13,43.492,
1999-01-14,43.122,
1999-01-15,43.404,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,42.319,
1999-01-19,42.375,
1999-01-20,42.160,
1999-01-21,42.175,
1999-01-22,42.661,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,42.682,
1999-01-26,42.463,
1999-01-27,42.346,
1999-01-28,42.162,
1999-01-29,42.032,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,41.694,
1999-02-02,41.603,
1999-02-03,41.597,
1999-02-04,41.392,
1999-02-05,41.534,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,41.530,
1999-02-09,42.025,
1999-02-10,42.054,
1999-02-11,41.783,
1999-02-12,41.532,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,41.272,
1999-02-16,41.243,
1999-02-17,41.608,
1999-02-18,41.611,
1999-02-19,41.852,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,41.455,
1999-02-23,41.104,
1999-02-24,41.435,
1999-02-25,41.409,
1999-02-26,41.129,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,40.958,
1999-03-02,40.866,
1999-03-03,41.007,
1999-03-04,40.968,
1999-03-05,40.611,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,40.505,
1999-03-09,40.672,
1999-03-10,41.010,
1999-03-11,40.962,
1999-03-12,40.855,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,40.833,
1999-03-16,40.515,
1999-03-17,40.954,
1999-03-18,41.238,
1999-03-19,40.811,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,40.780,
1999-03-23,40.822,
1999-03-24,41.058,
1999-03-25,40.976,
1999-03-26,40.633,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,40.238,
1999-03-30,40.380,
1999-03-31,40.384,
1999-04-01,40.669,
1999-04-02,40.595,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,40.537,
1999-04-06,40.596,
1999-04-07,40.831,
1999-04-08,40.930,
1999-04-09,41.001,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,41.214,
1999-04-13,40.781,
1999-04-14,40.518,
1999-04-15,40.472,
1999-04-16,40.001,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,39.706,
1999-04-20,39.706,
1999-04-21,39.779,
1999-04-22,39.790,
1999-04-23,39.962,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,40.007,
1999-04-27,40.023,
1999-04-28,39.906,
1999-04-29,39.657,
1999-04-30,39.406,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,39.170,
1999-05-04,38.898,
1999-05-05,39.265,
1999-05-06,39.958,
1999-05-07,39.732,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,39.508,
1999-05-11,39.519,
1999-05-12,39.147,
1999-05-13,39.311,
1999-05-14,39.610,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,39.821,
1999-05-18,39.521,
1999-05-19,39.517,
1999-05-20,39.465,
1999-05-21,39.107,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,39.214,
1999-05-25,39.375,
1999-05-26,39.143,
1999-05-27,38.896,
1999-05-28,38.922,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,38.772,
1999-06-01,38.710,
1999-06-02,38.508,
