"",BBK01.OEAJ05N,BBK01.OEAJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:26,
2002-01,44.574,
2002-04,44.548,
2002-07,45.174,
2002-10,45.720,
2003-01,47.748,
2003-04,48.313,
2003-07,50.022,
2003-10,44.411,
2004-01,45.480,
2004-04,48.941,
2004-07,50.917,
2004-10,44.771,
2005-01,48.816,
2005-04,48.058,
2005-07,51.101,
2005-10,53.682,
2006-01,56.607,
2006-04,60.603,
2006-07,64.338,
2006-10,67.793,
2007-01,70.237,
2007-04,73.244,
2007-07,75.313,
2007-10,75.813,
2008-01,77.741,
2008-04,78.974,
2008-07,73.971,
2008-10,74.498,
2009-01,76.149,
2009-04,77.484,
2009-07,78.245,
2009-10,74.026,
2010-01,78.201,
2010-04,73.034,
2010-07,72.425,
2010-10,71.804,
2011-01,71.513,
2011-04,71.586,
2011-07,70.903,
2011-10,70.570,
2012-01,69.314,
2012-04,68.158,
2012-07,67.258,
2012-10,63.330,
2013-01,65.644,
2013-04,64.889,
2013-07,63.393,
2013-10,62.245,
2014-01,60.333,
2014-04,57.667,
2014-07,59.921,
