"",BBK01.OEAH04P,BBK01.OEAH04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:26,
2002-01,2.523,
2002-04,2.350,
2002-07,2.308,
2002-10,2.499,
2003-01,2.506,
2003-04,2.577,
2003-07,2.578,
2003-10,2.893,
2004-01,2.509,
2004-04,2.277,
2004-07,2.155,
2004-10,2.420,
2005-01,2.322,
2005-04,2.102,
2005-07,2.057,
2005-10,2.277,
2006-01,2.201,
2006-04,2.209,
2006-07,2.493,
2006-10,2.872,
2007-01,2.948,
2007-04,3.353,
2007-07,3.658,
2007-10,4.063,
2008-01,4.276,
2008-04,4.248,
2008-07,4.640,
2008-10,4.614,
2009-01,4.247,
2009-04,4.117,
2009-07,3.999,
2009-10,3.540,
2010-01,3.401,
2010-04,3.058,
2010-07,3.442,
2010-10,3.896,
2011-01,3.910,
2011-04,4.311,
2011-07,4.675,
2011-10,5.094,
2012-01,5.087,
2012-04,4.981,
2012-07,4.926,
2012-10,4.236,
2013-01,4.678,
2013-04,3.846,
2013-07,3.179,
2013-10,2.594,
2014-01,2.542,
2014-04,2.490,
2014-07,2.361,
