"",BBK01.OEYM04J,BBK01.OEYM04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:50,
2002-01,0.100,
2002-04,0.034,
2002-07,0.093,
2002-10,0.099,
2003-01,0.095,
2003-04,0.228,
2003-07,0.042,
2003-10,0.029,
2004-01,0.129,
2004-04,0.168,
2004-07,0.327,
2004-10,0.064,
2005-01,0.363,
2005-04,0.381,
2005-07,0.424,
2005-10,0.616,
2006-01,0.357,
2006-04,0.540,
2006-07,0.537,
2006-10,0.361,
2007-01,0.209,
2007-04,0.163,
2007-07,0.384,
2007-10,0.230,
2008-01,0.038,
2008-04,0.252,
2008-07,0.358,
2008-10,0.232,
2009-01,0.074,
2009-04,0.065,
2009-07,0.171,
2009-10,0.279,
2010-01,0.516,
2010-04,0.873,
2010-07,0.745,
2010-10,0.568,
2011-01,0.469,
2011-04,0.628,
2011-07,0.351,
2011-10,0.631,
2012-01,0.763,
2012-04,0.697,
2012-07,0.476,
2012-10,0.645,
2013-01,0.822,
2013-04,0.699,
2013-07,0.626,
2013-10,0.735,
2014-01,0.695,
2014-04,0.647,
2014-07,0.590,
