"",BBSF2.M.1.P.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.UBS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Properties,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:30,
2009-09,820,
2009-10,803,
2009-11,811,
2009-12,433,
2010-01,544,
2010-02,546,
2010-03,533,
2010-04,497,
2010-05,468,
2010-06,758,
2010-07,763,
2010-08,773,
2010-09,715,
2010-10,742,
2010-11,758,
2010-12,797,
2011-01,811,
2011-02,785,
2011-03,809,
2011-04,826,
2011-05,836,
2011-06,1255,
2011-07,1273,
2011-08,997,
2011-09,1091,
2011-10,964,
2011-11,959,
2011-12,942,
2012-01,952,
2012-02,990,
2012-03,1065,
2012-04,1074,
2012-05,1080,
2012-06,1108,
2012-07,1379,
2012-08,1386,
2012-09,926,
2012-10,947,
2012-11,965,
2012-12,1153,
2013-01,1373,
2013-02,1312,
2013-03,1331,
2013-04,1465,
2013-05,1059,
2013-06,951,
2013-07,961,
2013-08,920,
2013-09,870,
2013-10,894,
2013-11,885,
2013-12,848,
2014-01,873,
2014-02,877,
2014-03,503,
2014-04,401,
2014-05,407,
2014-06,418,
2014-07,339,
2014-08,350,
2014-09,351,
2014-10,564,
2014-11,656,
