"",BBK01.OEBB05P,BBK01.OEBB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:02,
2002-01,3.092,
2002-04,3.119,
2002-07,3.166,
2002-10,2.644,
2003-01,2.793,
2003-04,2.670,
2003-07,2.694,
2003-10,2.547,
2004-01,2.501,
2004-04,2.454,
2004-07,2.509,
2004-10,2.428,
2005-01,2.617,
2005-04,2.667,
2005-07,2.707,
2005-10,2.656,
2006-01,2.667,
2006-04,2.721,
2006-07,2.750,
2006-10,2.789,
2007-01,2.823,
2007-04,2.786,
2007-07,2.816,
2007-10,2.977,
2008-01,2.985,
2008-04,3.795,
2008-07,3.731,
2008-10,3.689,
2009-01,3.654,
2009-04,3.998,
2009-07,3.966,
2009-10,3.969,
2010-01,3.972,
2010-04,3.961,
2010-07,3.829,
2010-10,3.926,
2011-01,3.934,
2011-04,3.918,
2011-07,3.977,
2011-10,3.917,
2012-01,3.946,
2012-04,3.935,
2012-07,3.988,
2012-10,3.818,
2013-01,3.917,
2013-04,3.889,
2013-07,3.962,
2013-10,4.042,
2014-01,4.034,
2014-04,3.999,
2014-07,3.968,
