"",BBK01.QUF785,BBK01.QUF785_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Malta / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:26,
2004-12,0.091,
2005-01,0.053,
2005-02,0.054,
2005-03,0.041,
2005-04,0.033,
2005-05,0.014,
2005-06,0.019,
2005-07,0.018,
2005-08,0.060,
2005-09,0.059,
2005-10,0.062,
2005-11,0.039,
2005-12,0.075,
2006-01,0.071,
2006-02,0.091,
2006-03,0.067,
2006-04,0.046,
2006-05,0.351,
2006-06,0.255,
2006-07,0.370,
2006-08,0.391,
2006-09,0.318,
2006-10,0.325,
2006-11,0.348,
2006-12,0.387,
2007-01,0.401,
2007-02,0.373,
2007-03,0.370,
2007-04,0.397,
2007-05,0.409,
2007-06,1.134,
2007-07,3.218,
2007-08,3.635,
2007-09,3.631,
2007-10,3.650,
2007-11,3.468,
2007-12,3.650,
2008-01,3.638,
2008-02,3.666,
2008-03,3.641,
2008-04,3.652,
2008-05,3.617,
2008-06,3.563,
2008-07,3.625,
2008-08,3.948,
2008-09,3.808,
2008-10,3.962,
2008-11,3.904,
2008-12,4.298,
2009-01,4.398,
2009-02,4.300,
2009-03,4.293,
2009-04,4.075,
2009-05,4.079,
2009-06,4.056,
2009-07,3.490,
2009-08,3.296,
2009-09,3.311,
2009-10,3.312,
2009-11,3.279,
2009-12,4.074,
2010-01,3.716,
2010-02,3.489,
2010-03,3.503,
2010-04,2.436,
2010-05,2.525,
2010-06,2.531,
2010-07,2.502,
2010-08,2.204,
2010-09,1.906,
2010-10,1.397,
2010-11,1.377,
2010-12,1.340,
2011-01,1.247,
2011-02,1.243,
2011-03,1.242,
2011-04,1.185,
2011-05,1.159,
2011-06,1.235,
2011-07,1.133,
2011-08,1.185,
2011-09,0.277,
2011-10,0.268,
2011-11,0.237,
2011-12,0.666,
2012-01,0.672,
2012-02,0.638,
2012-03,1.247,
2012-04,1.875,
2012-05,1.774,
2012-06,1.998,
2012-07,0.954,
2012-08,0.971,
2012-09,0.847,
2012-10,0.986,
2012-11,1.032,
2012-12,1.210,
2013-01,1.377,
2013-02,1.369,
2013-03,1.375,
2013-04,1.343,
2013-05,1.383,
2013-06,1.415,
2013-07,1.455,
2013-08,0.712,
2013-09,1.528,
2013-10,0.789,
2013-11,0.841,
2013-12,0.819,
2014-01,0.848,
2014-02,0.298,
2014-03,0.297,
2014-04,1.062,
2014-05,1.049,
2014-06,0.157,
2014-07,0.139,
2014-08,0.288,
2014-09,0.367,
2014-10,0.214,
2014-11,0.224,
