"",BBSF2.M.1.S.00000.TOT01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Not defined / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:08,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,2033,
1993-05,2047,
1993-06,2055,
1993-07,2082,
1993-08,2100,
1993-09,2123,
1993-10,2140,
1993-11,2152,
1993-12,2182,
1994-01,2211,
1994-02,2248,
1994-03,2276,
1994-04,2305,
1994-05,2331,
1994-06,2351,
1994-07,2385,
1994-08,2415,
1994-09,2430,
1994-10,2434,
1994-11,2439,
1994-12,2469,
1995-01,2482,
1995-02,2509,
1995-03,2519,
1995-04,2533,
1995-05,2540,
1995-06,2547,
1995-07,2550,
1995-08,2563,
1995-09,2565,
1995-10,2565,
1995-11,2564,
1995-12,2597,
1996-01,2636,
1996-02,2659,
1996-03,2685,
1996-04,2720,
1996-05,2737,
1996-06,2752,
1996-07,2786,
1996-08,2816,
1996-09,2832,
1996-10,2871,
1996-11,2886,
1996-12,2929,
1997-01,2974,
1997-02,3012,
1997-03,3061,
1997-04,3101,
1997-05,3127,
1997-06,3172,
1997-07,3240,
1997-08,3305,
1997-09,3357,
1997-10,3407,
1997-11,3433,
1997-12,3476,
1998-01,3529,
1998-02,3586,
1998-03,3701,
1998-04,3722,
1998-05,3772,
1998-06,3826,
1998-07,3912,
1998-08,3983,
1998-09,4047,
1998-10,4096,
1998-11,4138,
1998-12,4205,
1999-01,4260,
1999-02,4304,
1999-03,4342,
1999-04,4395,
1999-05,4445,
1999-06,4487,
1999-07,4544,
1999-08,4598,
1999-09,4620,
1999-10,4660,
1999-11,4685,
1999-12,4768,
2000-01,4812,
2000-02,4845,
2000-03,4898,
2000-04,4955,
2000-05,5003,
2000-06,5024,
2000-07,5068,
2000-08,5102,
2000-09,5152,
2000-10,5203,
2000-11,5217,
2000-12,5263,
2001-01,5341,
2001-02,5397,
2001-03,5398,
2001-04,5430,
2001-05,5449,
2001-06,5462,
2001-07,5503,
2001-08,5525,
2001-09,5523,
2001-10,5521,
2001-11,5509,
2001-12,5490,
2002-01,5500,
2002-02,5490,
2002-03,5488,
2002-04,5504,
2002-05,5484,
2002-06,5466,
2002-07,5449,
2002-08,5453,
2002-09,5437,
2002-10,5438,
2002-11,5392,
2002-12,5297,
2003-01,5301,
2003-02,5278,
2003-03,5253,
2003-04,5251,
2003-05,5234,
2003-06,5223,
2003-07,5199,
2003-08,5209,
2003-09,5205,
2003-10,5221,
2003-11,5175,
2003-12,5173,
2004-01,5165,
2004-02,5136,
2004-03,5131,
2004-04,5122,
2004-05,5104,
2004-06,5086,
2004-07,5077,
2004-08,5061,
2004-09,4991,
2004-10,4958,
2004-11,4908,
2004-12,4850,
2005-01,4845,
2005-02,4824,
2005-03,4790,
2005-04,4785,
2005-05,4758,
2005-06,4751,
2005-07,4742,
2005-08,4745,
2005-09,4721,
2005-10,4697,
2005-11,4668,
2005-12,4600,
2006-01,4603,
2006-02,4582,
2006-03,4548,
2006-04,4509,
2006-05,4471,
2006-06,4451,
2006-07,4437,
2006-08,4429,
2006-09,4426,
2006-10,4399,
2006-11,4380,
2006-12,4308,
2007-01,4265,
2007-02,4251,
2007-03,4225,
2007-04,4208,
2007-05,4194,
2007-06,4178,
2007-07,4175,
2007-08,4155,
2007-09,4148,
2007-10,4160,
2007-11,4139,
2007-12,4090,
2008-01,4057,
2008-02,4031,
2008-03,4012,
2008-04,4016,
2008-05,4005,
2008-06,3977,
2008-07,3956,
2008-08,3947,
2008-09,3914,
2008-10,3882,
2008-11,3896,
2008-12,3846,
2009-01,3826,
2009-02,3811,
2009-03,3789,
2009-04,3773,
2009-05,3758,
2009-06,3734,
2009-07,3742,
2009-08,3745,
2009-09,3737,
2009-10,3744,
2009-11,3711,
2009-12,3684,
2010-01,3709,
2010-02,3692,
2010-03,3705,
2010-04,3708,
2010-05,3699,
2010-06,3679,
2010-07,3666,
2010-08,3689,
2010-09,3690,
2010-10,3689,
2010-11,3684,
2010-12,3680,
2011-01,3679,
2011-02,3674,
2011-03,3656,
2011-04,3666,
2011-05,3658,
2011-06,3657,
2011-07,3662,
2011-08,3662,
2011-09,3662,
2011-10,3657,
2011-11,3649,
2011-12,3632,
2012-01,3625,
2012-02,3619,
2012-03,3608,
2012-04,3622,
2012-05,3616,
2012-06,3625,
2012-07,3623,
2012-08,3664,
2012-09,3709,
2012-10,3792,
2012-11,3771,
2012-12,3782,
2013-01,3778,
2013-02,3763,
2013-03,3758,
2013-04,3750,
2013-05,3746,
2013-06,3734,
2013-07,3914,
2013-08,3894,
2013-09,3887,
2013-10,3856,
2013-11,3823,
2013-12,3830,
2014-01,3795,
2014-02,3798,
2014-03,3767,
2014-04,3754,
2014-05,3747,
2014-06,3741,
2014-07,3702,
2014-08,3708,
2014-09,3713,
2014-10,3703,
2014-11,3700,
