"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.SI.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Slovenia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:26,
2009-09,204,
2009-10,209,
2009-11,206,
2009-12,204,
2010-01,337,
2010-02,328,
2010-03,441,
2010-04,456,
2010-05,465,
2010-06,461,
2010-07,471,
2010-08,479,
2010-09,484,
2010-10,483,
2010-11,464,
2010-12,452,
2011-01,481,
2011-02,486,
2011-03,591,
2011-04,596,
2011-05,587,
2011-06,563,
2011-07,539,
2011-08,526,
2011-09,519,
2011-10,510,
2011-11,464,
2011-12,479,
2012-01,492,
2012-02,505,
2012-03,522,
2012-04,526,
2012-05,536,
2012-06,524,
2012-07,487,
2012-08,451,
2012-09,456,
2012-10,492,
2012-11,496,
2012-12,645,
2013-01,677,
2013-02,661,
2013-03,548,
2013-04,614,
2013-05,592,
2013-06,565,
2013-07,582,
2013-08,570,
2013-09,536,
2013-10,583,
2013-11,681,
2013-12,771,
2014-01,851,
2014-02,1147,
2014-03,1349,
2014-04,1369,
2014-05,1371,
2014-06,1392,
2014-07,1328,
2014-08,1342,
2014-09,1348,
2014-10,1401,
2014-11,1494,
