"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Other equity / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:56,
1991-01,19.113,
1991-04,9.228,
1991-07,4.231,
1991-10,10.254,
1992-01,-68.010,
1992-04,11.815,
1992-07,-20.854,
1992-10,-6.495,
1993-01,8.902,
1993-04,28.094,
1993-07,-16.031,
1993-10,36.168,
1994-01,-14.449,
1994-04,-15.738,
1994-07,-10.541,
1994-10,532.928,
1995-01,8.667,
1995-04,7.992,
1995-07,-32.273,
1995-10,-440.075,
1996-01,17.634,
1996-04,-16.926,
1996-07,35.065,
1996-10,-29.313,
1997-01,13.523,
1997-04,-164.843,
1997-07,-192.015,
1997-10,-22.507,
1998-01,-60.277,
1998-04,3.700,
1998-07,21.195,
1998-10,16.730,
1999-01,-1.076,
1999-04,0.121,
1999-07,9.520,
1999-10,-13.589,
2000-01,194.360,
2000-04,5.214,
2000-07,99.714,
2000-10,50.396,
2001-01,20.744,
2001-04,0.542,
2001-07,15.235,
2001-10,-10.427,
2002-01,24.659,
2002-04,0.753,
2002-07,63.037,
2002-10,3.488,
2003-01,2.448,
2003-04,32.606,
2003-07,17.587,
2003-10,19.556,
2004-01,48.798,
2004-04,21.773,
2004-07,59.118,
2004-10,70.246,
2005-01,-58.207,
2005-04,4.134,
2005-07,-48.733,
2005-10,305.812,
2006-01,-18.951,
2006-04,17.256,
2006-07,-7.173,
2006-10,338.034,
2007-01,646.757,
2007-04,-17.097,
2007-07,50.689,
2007-10,49.517,
2008-01,-406.333,
2008-04,-3.938,
2008-07,1447.209,
2008-10,-68.796,
2009-01,-27.970,
2009-04,24.731,
2009-07,3.751,
2009-10,383.063,
2010-01,-67.695,
2010-04,13.483,
2010-07,-1.743,
2010-10,-147.695,
2011-01,70.565,
2011-04,17.475,
2011-07,-1.641,
2011-10,177.927,
2012-01,-61.776,
2012-04,-27.036,
2012-07,-7.087,
2012-10,199.151,
2013-01,-67.447,
2013-04,-6.036,
2013-07,61.618,
2013-10,-2.457,
2014-01,-48.090,
2014-04,-22.743,
2014-07,-63.240,
