"",BBK01.OEAF02P,BBK01.OEAF02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:08,
2002-01,10.064,
2002-04,10.149,
2002-07,10.199,
2002-10,10.315,
2003-01,10.504,
2003-04,10.586,
2003-07,10.661,
2003-10,10.647,
2004-01,10.684,
2004-04,10.842,
2004-07,10.950,
2004-10,10.929,
2005-01,11.030,
2005-04,11.066,
2005-07,11.193,
2005-10,11.216,
2006-01,11.256,
2006-04,11.324,
2006-07,11.401,
2006-10,11.420,
2007-01,11.413,
2007-04,11.443,
2007-07,11.536,
2007-10,11.580,
2008-01,11.528,
2008-04,11.511,
2008-07,11.500,
2008-10,11.431,
2009-01,11.382,
2009-04,11.700,
2009-07,11.670,
2009-10,11.629,
2010-01,11.568,
2010-04,11.618,
2010-07,11.662,
2010-10,11.683,
2011-01,11.750,
2011-04,11.821,
2011-07,11.929,
2011-10,11.952,
2012-01,11.972,
2012-04,12.135,
2012-07,12.236,
2012-10,12.254,
2013-01,12.325,
2013-04,12.353,
2013-07,12.391,
2013-10,12.374,
2014-01,12.332,
2014-04,12.380,
2014-07,12.435,
