"",BBEX3.M.CNY.EUR.CA.AC.A01,BBEX3.M.CNY.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in China / EUR 1 = CNY ... (middle),
unit,CNY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:44,
1999-01,9.44870,
1999-02,9.13330,
1999-03,8.87820,
1999-04,8.78940,
1999-05,8.65735,
1999-06,8.55055,
1999-07,8.86910,
1999-08,8.68890,
1999-09,8.81180,
1999-10,8.70765,
1999-11,8.36335,
1999-12,8.32195,
2000-01,8.09845,
2000-02,8.03855,
2000-03,7.87740,
2000-04,7.53750,
2000-05,7.69035,
2000-06,7.87445,
2000-07,7.65015,
2000-08,7.41200,
2000-09,7.29585,
2000-10,6.96265,
2000-11,7.10155,
2000-12,7.69655,
2001-01,7.77035,
2001-02,7.59895,
2001-03,7.30485,
2001-04,7.37755,
2001-05,7.08200,
2001-06,6.99740,
2001-07,7.23595,
2001-08,7.58105,
2001-09,7.59940,
2001-10,7.48760,
2001-11,7.34410,
2001-12,7.30705,
2002-01,7.13310,
2002-02,7.16465,
2002-03,7.22225,
2002-04,7.47290,
2002-05,7.75310,
2002-06,8.18235,
2002-07,8.14000,
2002-08,8.14100,
2002-09,8.11820,
2002-10,8.14755,
2002-11,8.22545,
2002-12,8.63065,
2003-01,8.95655,
2003-02,8.89535,
2003-03,8.94050,
2003-04,9.15975,
2003-05,9.84920,
2003-06,9.46480,
2003-07,9.39640,
2003-08,9.00670,
2003-09,9.60750,
2003-10,9.61545,
2003-11,9.86105,
2003-12,10.33870,
2004-01,10.27550,
2004-02,10.29700,
2004-03,10.07945,
2004-04,9.90290,
2004-05,10.15525,
2004-06,10.00190,
2004-07,9.97605,
2004-08,9.97175,
2004-09,10.21170,
2004-10,10.54965,
2004-11,10.98455,
2004-12,11.26270,
2005-01,10.78015,
2005-02,10.95435,
2005-03,10.68870,
2005-04,10.75490,
2005-05,10.32740,
2005-06,9.99550,
2005-07,9.83460,
2005-08,9.89450,
2005-09,9.76895,
2005-10,9.74875,
2005-11,9.52290,
2005-12,9.55675,
2006-01,9.86990,
2006-02,9.58795,
2006-03,9.75220,
2006-04,10.04950,
2006-05,10.34225,
2006-06,10.16895,
2006-07,10.20530,
2006-08,10.26400,
2006-09,10.14880,
2006-10,10.01720,
2006-11,10.41220,
2006-12,10.28010,
2007-01,9.97150,
2007-02,10.24550,
2007-03,10.32360,
2007-04,10.48950,
2007-05,10.27900,
2007-06,10.23550,
2007-07,10.35720,
2007-08,10.32700,
2007-09,10.64160,
2007-10,10.79220,
2007-11,10.90000,
2007-12,10.76240,
2008-01,10.66120,
2008-02,10.78090,
2008-03,11.08090,
2008-04,10.89720,
2008-05,10.78770,
2008-06,10.83020,
2008-07,10.65310,
2008-08,10.00920,
2008-09,9.99970,
2008-10,8.72540,
2008-11,8.81190,
2008-12,9.65900,
2009-01,8.87950,
2009-02,8.68040,
2009-03,9.03230,
2009-04,9.08370,
2009-05,9.55000,
2009-06,9.64080,
2009-07,9.62500,
2009-08,9.77270,
2009-09,9.96590,
2009-10,10.12880,
2009-11,10.23500,
2009-12,9.79710,
2010-01,9.50490,
2010-02,9.25450,
2010-03,9.15880,
2010-04,9.03800,
2010-05,8.40150,
2010-06,8.27100,
2010-07,8.84410,
2010-08,8.60850,
2010-09,9.13290,
2010-10,9.31160,
2010-11,8.76450,
2010-12,8.80650,
2011-01,8.95520,
2011-02,9.02050,
2011-03,9.26810,
2011-04,9.63480,
2011-05,9.32150,
2011-06,9.36120,
2011-07,9.22330,
2011-08,9.21220,
2011-09,8.63280,
2011-10,8.94650,
2011-11,8.46250,
2011-12,8.16250,
2012-01,8.30060,
2012-02,8.47990,
2012-03,8.39440,
2012-04,8.29320,
2012-05,7.83510,
2012-06,7.87100,
2012-07,7.76270,
2012-08,7.93780,
2012-09,8.18850,
2012-10,8.16540,
2012-11,8.16180,
2012-12,8.31760,
2013-01,8.51970,
2013-02,8.25510,
2013-03,8.03830,
2013-04,8.09170,
2013-05,8.06220,
2013-06,8.05360,
2013-07,8.19250,
2013-08,8.16930,
2013-09,8.29830,
2013-10,8.43330,
2013-11,8.34170,
2013-12,8.41890,
2014-01,8.33880,
2014-02,8.38970,
2014-03,8.46070,
2014-04,8.50330,
2014-05,8.39210,
2014-06,8.39460,
2014-07,8.26230,
2014-08,8.12600,
2014-09,7.80490,
2014-10,7.73770,
2014-11,7.64080,
2014-12,7.45560,
2015-01,6.96780,
2015-02,6.92560,
"","Source: Since 2008: People's Bank of China, Peking. Until 2007: Calculated on the basis of the buying and selling rates of the Bank of China, Frankfurt branch.",
