"",BBK01.OEYJ02J,BBK01.OEYJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:36,
2002-01,0.564,
2002-04,0.772,
2002-07,0.746,
2002-10,0.749,
2003-01,0.737,
2003-04,0.780,
2003-07,0.703,
2003-10,0.738,
2004-01,0.865,
2004-04,0.874,
2004-07,0.846,
2004-10,0.800,
2005-01,0.774,
2005-04,0.901,
2005-07,0.942,
2005-10,0.799,
2006-01,0.899,
2006-04,0.857,
2006-07,0.827,
2006-10,0.824,
2007-01,0.929,
2007-04,0.974,
2007-07,1.056,
2007-10,1.057,
2008-01,0.946,
2008-04,0.978,
2008-07,0.970,
2008-10,1.044,
2009-01,1.006,
2009-04,0.959,
2009-07,0.982,
2009-10,0.889,
2010-01,0.873,
2010-04,0.900,
2010-07,0.847,
2010-10,0.880,
2011-01,0.909,
2011-04,0.928,
2011-07,1.077,
2011-10,0.957,
2012-01,1.016,
2012-04,0.956,
2012-07,1.064,
2012-10,1.496,
2013-01,1.629,
2013-04,1.325,
2013-07,1.452,
2013-10,1.403,
2014-01,1.255,
2014-04,1.199,
2014-07,1.400,
