"",BBK01.CEHB02,BBK01.CEHB02_FLAGS
"",Long-term debt securities\n debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:08,
1991-01,11.5,
1991-04,11.7,
1991-07,14.4,
1991-10,9.3,
1992-01,24.8,
1992-04,16.7,
1992-07,28.0,
1992-10,30.4,
1993-01,16.7,
1993-04,14.6,
1993-07,22.8,
1993-10,37.2,
1994-01,38.6,
1994-04,27.3,
1994-07,16.8,
1994-10,1.1,
1995-01,8.9,
1995-04,1.8,
1995-07,21.2,
1995-10,25.1,
1996-01,34.8,
1996-04,27.6,
1996-07,15.9,
1996-10,11.3,
1997-01,54.2,
1997-04,35.7,
1997-07,24.8,
1997-10,-4.5,
1998-01,51.5,
1998-04,53.4,
1998-07,8.8,
1998-10,32.2,
1999-01,31.0,
1999-04,54.0,
1999-07,34.0,
1999-10,-0.5,
2000-01,57.2,
2000-04,16.1,
2000-07,22.2,
2000-10,-3.7,
2001-01,35.2,
2001-04,36.2,
2001-07,-4.5,
2001-10,19.1,
2002-01,40.5,
2002-04,14.6,
2002-07,-4.4,
2002-10,-11.3,
2003-01,35.1,
2003-04,21.1,
2003-07,26.6,
2003-10,30.2,
2004-01,57.7,
2004-04,44.2,
2004-07,19.2,
2004-10,-3.0,
2005-01,64.0,
2005-04,37.8,
2005-07,-0.7,
2005-10,16.4,
2006-01,25.2,
2006-04,37.1,
2006-07,10.1,
2006-10,17.2,
2007-01,51.9,
2007-04,20.3,
2007-07,-17.4,
2007-10,-2.0,
2008-01,18.5,
2008-04,13.8,
2008-07,11.9,
2008-10,13.6,
2009-01,58.6,
2009-04,59.2,
2009-07,21.8,
2009-10,-9.5,
2010-01,38.1,
2010-04,2.3,
2010-07,-17.1,
2010-10,-27.2,
2011-01,-5.1,
2011-04,-13.9,
2011-07,-19.7,
2011-10,8.5,
2012-01,26.5,
2012-04,8.6,
2012-07,27.1,
2012-10,1.7,
2013-01,0.3,
2013-04,8.6,
2013-07,3.3,
2013-10,18.7,
2014-01,18.6,
