"",BBK01.OEXB04Q,BBK01.OEXB04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:36,
2002-01,4.236,
2002-04,4.237,
2002-07,4.192,
2002-10,4.175,
2003-01,4.206,
2003-04,4.197,
2003-07,4.023,
2003-10,4.047,
2004-01,4.003,
2004-04,4.057,
2004-07,4.082,
2004-10,2.639,
2005-01,2.564,
2005-04,2.601,
2005-07,2.630,
2005-10,2.644,
2006-01,2.639,
2006-04,2.666,
2006-07,2.679,
2006-10,2.713,
2007-01,2.702,
2007-04,2.700,
2007-07,2.712,
2007-10,2.710,
2008-01,2.729,
2008-04,2.772,
2008-07,2.742,
2008-10,2.661,
2009-01,2.690,
2009-04,2.667,
2009-07,2.713,
2009-10,2.746,
2010-01,2.745,
2010-04,2.758,
2010-07,2.775,
2010-10,2.798,
2011-01,2.806,
2011-04,2.842,
2011-07,2.883,
2011-10,2.893,
2012-01,2.932,
2012-04,2.974,
2012-07,3.025,
2012-10,3.062,
2013-01,3.115,
2013-04,3.151,
2013-07,3.228,
2013-10,3.281,
2014-01,3.300,
2014-04,3.313,
2014-07,3.322,
