"",BBK01.OEAA50M,BBK01.OEAA50M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:58,
2002-01,0.817,
2002-04,0.863,
2002-07,1.040,
2002-10,0.723,
2003-01,0.901,
2003-04,1.503,
2003-07,1.049,
2003-10,0.773,
2004-01,0.915,
2004-04,1.032,
2004-07,1.327,
2004-10,1.356,
2005-01,1.378,
2005-04,1.303,
2005-07,1.087,
2005-10,1.775,
2006-01,1.337,
2006-04,1.529,
2006-07,1.733,
2006-10,1.639,
2007-01,1.419,
2007-04,1.312,
2007-07,1.435,
2007-10,2.329,
2008-01,2.818,
2008-04,3.030,
2008-07,3.095,
2008-10,3.571,
2009-01,3.087,
2009-04,2.722,
2009-07,2.299,
2009-10,2.415,
2010-01,3.430,
2010-04,2.122,
2010-07,2.236,
2010-10,2.002,
2011-01,2.139,
2011-04,2.577,
2011-07,2.490,
2011-10,2.294,
2012-01,2.901,
2012-04,2.447,
2012-07,2.152,
2012-10,1.498,
2013-01,1.788,
2013-04,1.788,
2013-07,1.730,
2013-10,1.457,
2014-01,2.277,
2014-04,2.093,
2014-07,1.716,
