"",BBFB1.Q.N.DE.I7.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:46,
1991-01,37832.129,
1991-04,38365.050,
1991-07,35591.218,
1991-10,38410.887,
1992-01,38555.912,
1992-04,37828.971,
1992-07,35007.388,
1992-10,38115.555,
1993-01,31901.862,
1993-04,31750.498,
1993-07,30074.507,
1993-10,32605.427,
1994-01,32011.638,
1994-04,34897.124,
1994-07,33060.093,
1994-10,36212.300,
1995-01,37621.476,
1995-04,38490.369,
1995-07,35578.437,
1995-10,37886.404,
1996-01,38590.599,
1996-04,38637.031,
1996-07,36054.431,
1996-10,40413.010,
1997-01,40466.878,
1997-04,42766.691,
1997-07,41497.335,
1997-10,44859.233,
1998-01,45023.538,
1998-04,47696.891,
1998-07,43368.405,
1998-10,46081.695,
1999-01,45609.137,
1999-04,48643.019,
1999-07,46565.133,
1999-10,49002.635,
2000-01,49472.594,
2000-04,51851.124,
2000-07,52367.799,
2000-10,60736.259,
2001-01,53956.639,
2001-04,57062.771,
2001-07,52001.505,
2001-10,52765.488,
2002-01,46899.472,
2002-04,51126.400,
2002-07,49816.288,
2002-10,53606.529,
2003-01,51788.407,
2003-04,52766.876,
2003-07,50526.962,
2003-10,55681.947,
2004-01,54074.298,
2004-04,55879.315,
2004-07,56124.040,
2004-10,59789.109,
2005-01,55337.003,
2005-04,60018.869,
2005-07,58478.423,
2005-10,64806.206,
2006-01,64788.554,
2006-04,67777.974,
2006-07,66721.405,
2006-10,73588.708,
2007-01,70284.255,
2007-04,72935.190,
2007-07,71386.603,
2007-10,74820.140,
2008-01,74325.889,
2008-04,76984.596,
2008-07,76484.889,
2008-10,72664.753,
2009-01,63851.350,
2009-04,58718.213,
2009-07,59628.818,
2009-10,63467.372,
2010-01,65607.520,
2010-04,71508.102,
2010-07,71471.762,
2010-10,76099.418,
2011-01,80136.112,
2011-04,85227.118,
2011-07,78556.660,
2011-10,81813.686,
2012-01,84151.331,
2012-04,83594.963,
2012-07,80515.674,
2012-10,82986.914,
2013-01,83050.822,
2013-04,84270.973,
2013-07,83145.411,
2013-10,86181.278,
2014-01,85341.709,Provisional value
2014-04,86648.688,Provisional value
2014-07,85104.727,Provisional value
