"",BBFB1.Q.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:00,
1991-01,3215.827,
1991-04,3450.149,
1991-07,3352.584,
1991-10,3346.635,
1992-01,3330.446,
1992-04,3863.151,
1992-07,4123.420,
1992-10,4067.556,
1993-01,4419.597,
1993-04,4272.360,
1993-07,4204.083,
1993-10,4580.656,
1994-01,4557.213,
1994-04,4453.333,
1994-07,4269.662,
1994-10,4683.803,
1995-01,4778.650,
1995-04,4640.892,
1995-07,4509.049,
1995-10,4609.456,
1996-01,4614.539,
1996-04,4853.532,
1996-07,5169.103,
1996-10,5228.731,
1997-01,5356.998,
1997-04,5636.961,
1997-07,5485.292,
1997-10,5270.658,
1998-01,4837.975,
1998-04,6164.868,
1998-07,5492.501,
1998-10,5559.418,
1999-01,6415.863,
1999-04,8131.526,
1999-07,7573.240,
1999-10,7647.043,
2000-01,6984.657,
2000-04,8176.526,
2000-07,7869.162,
2000-10,8486.705,
2001-01,9043.040,
2001-04,10881.140,
2001-07,11194.362,
2001-10,9784.914,
2002-01,9542.137,
2002-04,10512.243,
2002-07,10473.620,
2002-10,10983.549,
2003-01,11124.877,
2003-04,13293.255,
2003-07,11969.550,
2003-10,10966.874,
2004-01,9290.183,
2004-04,10082.791,
2004-07,8475.220,
2004-10,8472.340,
2005-01,8995.589,
2005-04,11166.450,
2005-07,9719.901,
2005-10,9723.010,
2006-01,9005.225,
2006-04,11018.561,
2006-07,8354.042,
2006-10,8212.832,
2007-01,8027.892,
2007-04,12855.595,
2007-07,8535.053,
2007-10,8237.576,
2008-01,9018.588,
2008-04,12641.658,
2008-07,8096.728,
2008-10,7723.541,
2009-01,7944.208,
2009-04,10712.271,
2009-07,7266.119,
2009-10,7172.330,
2010-01,8090.965,
2010-04,11775.494,
2010-07,9487.883,
2010-10,9877.040,
2011-01,10505.449,
2011-04,15730.077,
2011-07,11634.378,
2011-10,11562.509,
2012-01,11457.246,
2012-04,15335.509,
2012-07,11912.303,
2012-10,11366.885,
2013-01,11977.322,
2013-04,14662.482,
2013-07,12635.056,
2013-10,12443.755,
2014-01,12324.524,Provisional value
2014-04,16407.523,Provisional value
2014-07,12675.253,Provisional value
