"",BBK01.CEHO2Q,BBK01.CEHO2Q_FLAGS
"",Other deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:32,
1991-01,16.0,
1991-04,7.0,
1991-07,16.7,
1991-10,31.3,
1992-01,24.3,
1992-04,19.9,
1992-07,41.7,
1992-10,-1.4,
1993-01,26.1,
1993-04,21.9,
1993-07,16.9,
1993-10,51.3,
1994-01,28.7,
1994-04,8.8,
1994-07,16.9,
1994-10,17.8,
1995-01,40.4,
1995-04,24.8,
1995-07,29.1,
1995-10,20.6,
1996-01,40.2,
1996-04,2.8,
1996-07,11.2,
1996-10,22.0,
1997-01,52.3,
1997-04,19.4,
1997-07,8.8,
1997-10,34.9,
1998-01,38.7,
1998-04,16.0,
1998-07,32.6,
1998-10,42.9,
1999-01,18.3,
1999-04,1.5,
1999-07,37.7,
1999-10,77.6,
2000-01,3.8,
2000-04,1.1,
2000-07,21.6,
2000-10,47.7,
2001-01,74.3,
2001-04,-15.0,
2001-07,11.1,
2001-10,16.0,
2002-01,-25.3,
2002-04,-24.1,
2002-07,30.6,
2002-10,31.9,
2003-01,2.7,
2003-04,-20.4,
2003-07,0.4,
2003-10,35.7,
2004-01,-16.6,
2004-04,-36.3,
2004-07,31.8,
2004-10,93.0,
2005-01,-31.8,
2005-04,-20.6,
2005-07,20.7,
2005-10,24.0,
2006-01,17.0,
2006-04,-9.4,
2006-07,46.4,
2006-10,-5.6,
2007-01,24.0,
2007-04,22.1,
2007-07,92.5,
2007-10,86.3,
2008-01,21.5,
2008-04,9.8,
2008-07,46.1,
2008-10,-57.6,
2009-01,-121.6,
2009-04,-18.8,
2009-07,-64.7,
2009-10,-46.6,
2010-01,-42.6,
2010-04,7.5,
2010-07,40.6,
2010-10,23.8,
2011-01,-56.2,
2011-04,-3.7,
2011-07,50.0,
2011-10,-34.3,
2012-01,80.7,
2012-04,-24.4,
2012-07,-60.8,
2012-10,-109.9,
2013-01,-20.7,
2013-04,-24.1,
2013-07,-104.5,
2013-10,-30.4,
2014-01,-3.4,
