"",BBFN1.M.DE.N.1.A.R12.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:02,
1994-11,.,No value available
1994-12,1.674,
1995-01,1.680,
1995-02,1.577,
1995-03,1.627,
1995-04,1.601,
1995-05,1.622,
1995-06,1.661,
1995-07,1.794,
1995-08,1.788,
1995-09,1.799,
1995-10,1.860,
1995-11,1.840,
1995-12,1.817,
1996-01,1.850,
1996-02,1.797,
1996-03,1.862,
1996-04,1.914,
1996-05,1.886,
1996-06,1.926,
1996-07,1.987,
1996-08,1.961,
1996-09,1.946,
1996-10,2.027,
1996-11,2.172,
1996-12,2.029,
1997-01,1.997,
1997-02,1.995,
1997-03,2.056,
1997-04,2.113,
1997-05,2.200,
1997-06,2.261,
1997-07,2.381,
1997-08,2.435,
1997-09,2.388,
1997-10,2.464,
1997-11,2.459,
1997-12,2.479,
1998-01,2.435,
1998-02,2.493,
1998-03,2.508,
1998-04,2.459,
1998-05,2.384,
1998-06,2.252,
1998-07,2.240,
1998-08,2.222,
1998-09,2.143,
1998-10,2.225,
1998-11,2.119,
1998-12,2.334,
1999-01,2.122,
1999-02,2.120,
1999-03,2.195,
1999-04,2.321,
1999-05,2.348,
1999-06,2.434,
1999-07,2.471,
1999-08,2.480,
1999-09,2.448,
1999-10,2.634,
1999-11,2.705,
1999-12,2.754,
2000-01,2.786,
2000-02,2.735,
2000-03,2.922,
2000-04,2.991,
2000-05,3.057,
2000-06,3.236,
2000-07,3.310,
2000-08,3.202,
2000-09,3.260,
2000-10,3.114,
2000-11,3.117,
2000-12,3.058,
2001-01,3.085,
2001-02,3.001,
2001-03,3.135,
2001-04,3.170,
2001-05,3.238,
2001-06,3.204,
2001-07,3.060,
2001-08,2.957,
2001-09,3.002,
2001-10,2.901,
2001-11,2.926,
2001-12,2.964,
2002-01,2.993,
2002-02,2.906,
2002-03,2.907,
2002-04,3.107,
2002-05,3.488,
2002-06,3.372,
2002-07,3.380,
2002-08,3.492,
2002-09,3.806,
2002-10,3.888,
2002-11,4.101,
2002-12,4.034,
2003-01,3.460,
2003-02,3.580,
2003-03,3.503,
2003-04,3.364,
2003-05,3.319,
2003-06,3.277,
2003-07,3.498,
2003-08,3.506,
2003-09,3.454,
2003-10,3.221,
2003-11,3.509,
2003-12,3.557,
2004-01,3.577,
2004-02,3.273,
2004-03,3.331,
2004-04,3.250,
2004-05,3.509,
2004-06,3.409,
2004-07,3.445,
2004-08,3.408,
2004-09,3.357,
2004-10,3.602,
2004-11,3.426,
2004-12,3.138,
2005-01,3.006,
2005-02,2.944,
2005-03,3.123,
2005-04,3.370,
2005-05,3.407,
2005-06,3.628,
2005-07,3.603,
2005-08,3.625,
2005-09,3.649,
2005-10,3.407,
2005-11,3.465,
2005-12,3.760,
2006-01,3.788,
2006-02,3.694,
2006-03,3.680,
2006-04,3.522,
2006-05,3.679,
2006-06,3.767,
2006-07,3.308,
2006-08,3.380,
2006-09,3.548,
2006-10,3.485,
2006-11,3.582,
2006-12,3.428,
2007-01,3.540,
2007-02,3.659,
2007-03,3.767,
2007-04,3.440,
2007-05,3.466,
2007-06,3.704,
2007-07,3.491,
2007-08,3.553,
2007-09,3.807,
2007-10,3.956,
2007-11,3.799,
2007-12,3.644,
2008-01,3.542,
2008-02,3.568,
2008-03,3.715,
2008-04,3.706,
2008-05,3.745,
2008-06,3.793,
2008-07,3.886,
2008-08,3.945,
2008-09,3.687,
2008-10,3.722,
2008-11,3.436,
2008-12,3.160,
2009-01,2.912,
2009-02,3.044,
2009-03,2.925,
2009-04,3.067,
2009-05,3.064,
2009-06,3.027,
2009-07,3.136,
2009-08,3.224,
2009-09,3.251,
2009-10,3.295,
2009-11,3.333,
2009-12,3.089,
2010-01,3.106,
2010-02,3.167,
2010-03,3.347,
2010-04,3.559,
2010-05,3.893,
2010-06,3.958,
2010-07,4.037,
2010-08,4.103,
2010-09,3.945,
2010-10,3.961,
2010-11,4.014,
2010-12,4.447,
2011-01,4.451,
2011-02,4.444,
2011-03,4.629,
2011-04,4.646,
2011-05,4.936,
2011-06,4.791,
2011-07,4.590,
2011-08,4.497,
2011-09,4.714,
2011-10,4.769,
2011-11,4.611,
2011-12,4.738,
2012-01,4.688,
2012-02,4.510,
2012-03,4.985,
2012-04,4.968,
2012-05,5.252,
2012-06,5.676,
2012-07,5.186,
2012-08,5.011,
2012-09,5.057,
2012-10,4.935,
2012-11,5.672,
2012-12,5.751,
2013-01,5.385,
2013-02,5.054,
2013-03,5.624,
2013-04,5.322,
2013-05,5.478,
2013-06,5.700,
2013-07,5.580,
2013-08,5.678,
2013-09,5.911,
2013-10,5.838,
2013-11,5.969,
2013-12,5.856,
2014-01,5.526,
2014-02,5.322,
2014-03,5.667,
2014-04,5.593,
2014-05,5.328,
2014-06,5.849,
2014-07,5.925,
2014-08,5.843,
2014-09,6.265,
2014-10,6.226,
2014-11,5.974,
2014-12,6.356,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
