"",BBK01.OEBJ08K,BBK01.OEBJ08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:52,
2002-01,0.005,
2002-04,0.005,
2002-07,0.003,
2002-10,0.004,
2003-01,0.004,
2003-04,0.004,
2003-07,0.005,
2003-10,0.009,
2004-01,0.017,
2004-04,0.007,
2004-07,0.007,
2004-10,0.007,
2005-01,0.007,
2005-04,0.006,
2005-07,0.007,
2005-10,0.007,
2006-01,0.007,
2006-04,0.006,
2006-07,0.006,
2006-10,0.007,
2007-01,0.007,
2007-04,0.007,
2007-07,0.007,
2007-10,0.007,
2008-01,0.009,
2008-04,0.010,
2008-07,0.023,
2008-10,0.025,
2009-01,0.026,
2009-04,0.028,
2009-07,0.028,
2009-10,0.033,
2010-01,0.038,
2010-04,0.040,
2010-07,0.042,
2010-10,0.046,
2011-01,0.047,
2011-04,0.047,
2011-07,0.045,
2011-10,0.018,
2012-01,0.021,
2012-04,0.022,
2012-07,0.024,
2012-10,0.025,
2013-01,0.027,
2013-04,0.024,
2013-07,0.024,
2013-10,0.026,
2014-01,0.024,
2014-04,0.024,
2014-07,0.023,
