"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.EUR.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:18,
1971-12,2.215,
1972-01,2.196,
1972-02,2.261,
1972-03,2.305,
1972-04,2.297,
1972-05,2.299,
1972-06,2.298,
1972-07,2.193,
1972-08,2.198,
1972-09,2.125,
1972-10,2.123,
1972-11,2.274,
1972-12,2.302,
1973-01,2.291,
1973-02,2.318,
1973-03,2.321,
1973-04,2.329,
1973-05,2.327,
1973-06,2.319,
1973-07,2.345,
1973-08,2.354,
1973-09,2.336,
1973-10,2.325,
1973-11,2.319,
1973-12,2.346,
1974-01,2.314,
1974-02,2.288,
1974-03,2.283,
1974-04,2.282,
1974-05,2.283,
1974-06,2.270,
1974-07,2.291,
1974-08,2.255,
1974-09,2.239,
1974-10,2.297,
1974-11,2.269,
1974-12,2.102,
1975-01,2.124,
1975-02,2.138,
1975-03,2.171,
1975-04,2.224,
1975-05,2.178,
1975-06,2.161,
1975-07,2.228,
1975-08,2.208,
1975-09,2.135,
1975-10,2.170,
1975-11,2.153,
1975-12,2.127,
1976-01,2.153,
1976-02,2.169,
1976-03,2.177,
1976-04,2.169,
1976-05,2.142,
1976-06,2.154,
1976-07,2.168,
1976-08,2.183,
1976-09,2.176,
1976-10,2.147,
1976-11,2.140,
1976-12,2.118,
1977-01,2.167,
1977-02,2.215,
1977-03,2.381,
1977-04,2.393,
1977-05,2.382,
1977-06,2.370,
1977-07,2.411,
1977-08,2.380,
1977-09,2.372,
1977-10,2.379,
1977-11,2.383,
1977-12,2.462,
1978-01,2.489,
1978-02,2.608,
1978-03,2.611,
1978-04,2.613,
1978-05,2.597,
1978-06,2.545,
1978-07,2.571,
1978-08,2.572,
1978-09,2.589,
1978-10,2.591,
1978-11,2.420,
1978-12,2.621,
1979-01,2.634,
1979-02,2.661,
1979-03,2.634,
1979-04,2.714,
1979-05,2.679,
1979-06,2.571,
1979-07,2.675,
1979-08,2.683,
1979-09,2.676,
1979-10,2.652,
1979-11,2.608,
1979-12,2.603,
1980-01,2.646,
1980-02,2.666,
1980-03,2.713,
1980-04,2.726,
1980-05,2.801,
1980-06,2.775,
1980-07,2.776,
1980-08,2.638,
1980-09,2.721,
1980-10,2.752,
1980-11,2.818,
1980-12,2.834,
1981-01,3.040,
1981-02,3.105,
1981-03,3.072,
1981-04,3.063,
1981-05,3.120,
1981-06,3.732,
1981-07,3.775,
1981-08,3.751,
1981-09,3.774,
1981-10,3.751,
1981-11,3.015,
1981-12,3.009,
1982-01,3.138,
1982-02,3.189,
