"",BBK01.CEWK01,BBK01.CEWK01_FLAGS
"",Net acquisition of financial assets Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:33,
1991-01,-9.7,
1991-04,-26.4,
1991-07,-23.6,
1991-10,-14.8,
1992-01,-3.2,
1992-04,-18.7,
1992-07,-55.8,
1992-10,21.6,
1993-01,-31.2,
1993-04,-9.3,
1993-07,-25.6,
1993-10,3.5,
1994-01,-19.5,
1994-04,-13.1,
1994-07,-10.2,
1994-10,24.4,
1995-01,82.5,
1995-04,-13.8,
1995-07,-4.8,
1995-10,11.3,
1996-01,-18.6,
1996-04,-25.5,
1996-07,0.9,
1996-10,29.4,
1997-01,-20.7,
1997-04,-13.9,
1997-07,9.9,
1997-10,2.0,
1998-01,-8.4,
1998-04,-31.4,
1998-07,-28.8,
1998-10,36.6,
1999-01,31.7,
1999-04,-36.9,
1999-07,3.5,
1999-10,20.4,
2000-01,-18.1,
2000-04,-40.7,
2000-07,15.5,
2000-10,12.8,
2001-01,-38.7,
2001-04,-39.2,
2001-07,51.3,
2001-10,0.7,
2002-01,-16.1,
2002-04,-24.5,
2002-07,17.6,
2002-10,9.4,
2003-01,19.5,
2003-04,4.5,
2003-07,12.5,
2003-10,-27.0,
2004-01,-20.7,
2004-04,36.8,
2004-07,34.2,
2004-10,3.2,
2005-01,-20.4,
2005-04,31.3,
2005-07,2.3,
2005-10,-20.0,
2006-01,48.1,
2006-04,-2.9,
2006-07,21.1,
2006-10,70.1,
2007-01,-19.5,
2007-04,-11.2,
2007-07,83.1,
2007-10,83.6,
2008-01,-5.3,
2008-04,-18.6,
2008-07,3.9,
2008-10,-46.9,
2009-01,-14.7,
2009-04,40.0,
2009-07,32.9,
2009-10,18.4,
2010-01,10.7,
2010-04,-21.6,
2010-07,63.0,
2010-10,40.2,
2011-01,77.9,
2011-04,-5.1,
2011-07,-72.3,
2011-10,23.2,
2012-01,8.9,
2012-04,-38.9,
2012-07,18.5,
2012-10,61.5,
2013-01,-15.5,
2013-04,-19.3,
2013-07,116.9,
2013-10,17.3,
2014-01,-22.3,
