"",BBK01.TQ7005F,BBK01.TQ7005F_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Other financial corporations            FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:23,
2005-10,1.28,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1.29,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1.66,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,2.01,
2009-01,2.69,
2009-04,2.91,
2009-07,2.87,
2009-10,2.87,
2010-01,2.84,
2010-04,2.91,
2010-07,2.83,
2010-10,2.77,
2011-01,2.90,
2011-04,3.14,
2011-07,3.42,
2011-10,3.43,
2012-01,3.42,
2012-04,3.30,
2012-07,3.65,
2012-10,3.45,
2013-01,3.74,
2013-04,3.33,
2013-07,1.84,
2013-10,1.88,
2014-01,1.93,
2014-04,1.87,
2014-07,1.96,
