"",BBK01.CELFC3,BBK01.CELFC3_FLAGS
"",long-term loans (nach Anpassung an Finanzstat.)              debtor: General government                         creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:20,
1999-01,-2.5,
1999-04,0.0,
1999-07,-3.3,
1999-10,6.0,
2000-01,9.5,
2000-04,2.5,
2000-07,-5.1,
2000-10,-5.1,
2001-01,-5.7,
2001-04,-1.9,
2001-07,-3.1,
2001-10,-9.6,
2002-01,-5.9,
2002-04,-4.5,
2002-07,-3.0,
2002-10,-6.0,
2003-01,-5.9,
2003-04,-1.5,
2003-07,2.0,
2003-10,1.2,
2004-01,-1.1,
2004-04,-1.8,
2004-07,2.2,
2004-10,-14.3,
2005-01,-2.2,
2005-04,-6.7,
2005-07,1.3,
2005-10,-9.3,
2006-01,-6.3,
2006-04,-6.6,
2006-07,-5.5,
2006-10,0.0,
2007-01,-9.8,
2007-04,-3.8,
2007-07,-4.3,
2007-10,-7.0,
2008-01,7.6,
2008-04,-0.5,
2008-07,-6.5,
2008-10,-2.2,
2009-01,-6.7,
2009-04,2.5,
2009-07,-1.9,
2009-10,-2.3,
2010-01,-3.2,
2010-04,13.4,
2010-07,0.8,
2010-10,12.3,
2011-01,1.8,
2011-04,-8.2,
2011-07,1.9,
2011-10,-8.6,
2012-01,-4.4,
2012-04,-5.4,
2012-07,4.0,
2012-10,-3.0,
2013-01,3.0,
2013-04,-0.3,
2013-07,-1.5,
2013-10,-4.1,
2014-01,-5.2,
2014-04,-4.3,
2014-07,-3.6,
