"",BBK01.OELM01V,BBK01.OELM01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:31,
2002-01,0.093,
2002-04,0.108,
2002-07,0.130,
2002-10,0.119,
2003-01,0.121,
2003-04,0.083,
2003-07,0.108,
2003-10,0.090,
2004-01,0.088,
2004-04,0.125,
2004-07,0.126,
2004-10,0.125,
2005-01,0.135,
2005-04,0.131,
2005-07,0.120,
2005-10,0.130,
2006-01,0.134,
2006-04,0.159,
2006-07,0.132,
2006-10,0.120,
2007-01,0.118,
2007-04,0.126,
2007-07,0.160,
2007-10,0.150,
2008-01,0.152,
2008-04,0.203,
2008-07,0.115,
2008-10,0.152,
2009-01,0.110,
2009-04,0.105,
2009-07,0.111,
2009-10,0.103,
2010-01,0.114,
2010-04,0.115,
2010-07,0.124,
2010-10,0.133,
2011-01,0.143,
2011-04,0.271,
2011-07,0.122,
2011-10,0.129,
2012-01,0.124,
2012-04,0.103,
2012-07,0.099,
2012-10,0.119,
2013-01,0.144,
2013-04,0.337,
2013-07,0.359,
2013-10,0.374,
2014-01,0.361,
2014-04,0.385,
2014-07,0.361,
