"",BBK01.OELB10S,BBK01.OELB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:22,
2002-01,0.197,
2002-04,0.196,
2002-07,0.205,
2002-10,0.176,
2003-01,0.184,
2003-04,0.188,
2003-07,0.177,
2003-10,0.153,
2004-01,0.163,
2004-04,0.178,
2004-07,0.173,
2004-10,0.143,
2005-01,0.150,
2005-04,0.149,
2005-07,0.149,
2005-10,0.129,
2006-01,0.120,
2006-04,0.127,
2006-07,0.124,
2006-10,0.107,
2007-01,0.111,
2007-04,0.123,
2007-07,0.127,
2007-10,0.093,
2008-01,0.102,
2008-04,0.122,
2008-07,0.116,
2008-10,0.091,
2009-01,0.107,
2009-04,0.118,
2009-07,0.122,
2009-10,0.110,
2010-01,0.121,
2010-04,0.129,
2010-07,0.124,
2010-10,0.105,
2011-01,0.115,
2011-04,0.125,
2011-07,0.119,
2011-10,0.098,
2012-01,0.119,
2012-04,0.122,
2012-07,0.123,
2012-10,0.102,
2013-01,0.118,
2013-04,0.132,
2013-07,0.130,
2013-10,0.106,
2014-01,0.116,
2014-04,0.113,
2014-07,0.120,
