"",BBK01.OEAE27Q,BBK01.OEAE27Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:28,
2002-01,0.223,
2002-04,0.206,
2002-07,0.212,
2002-10,0.169,
2003-01,0.192,
2003-04,0.124,
2003-07,0.127,
2003-10,0.125,
2004-01,0.128,
2004-04,0.283,
2004-07,0.162,
2004-10,0.166,
2005-01,0.196,
2005-04,0.186,
2005-07,0.205,
2005-10,0.207,
2006-01,0.216,
2006-04,0.218,
2006-07,0.221,
2006-10,0.239,
2007-01,0.251,
2007-04,0.208,
2007-07,0.251,
2007-10,0.200,
2008-01,0.161,
2008-04,0.159,
2008-07,0.163,
2008-10,0.155,
2009-01,0.112,
2009-04,0.105,
2009-07,0.102,
2009-10,0.098,
2010-01,0.109,
2010-04,0.082,
2010-07,0.071,
2010-10,0.068,
2011-01,0.077,
2011-04,0.082,
2011-07,0.067,
2011-10,0.062,
2012-01,0.053,
2012-04,0.049,
2012-07,0.048,
2012-10,0.056,
2013-01,0.056,
2013-04,0.057,
2013-07,0.058,
2013-10,0.058,
2014-01,0.052,
2014-04,0.078,
2014-07,0.068,
