"",BBK01.OECB01Q,BBK01.OECB01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:24,
2002-01,7.049,
2002-04,7.084,
2002-07,7.131,
2002-10,7.054,
2003-01,6.791,
2003-04,6.829,
2003-07,7.130,
2003-10,7.043,
2004-01,6.852,
2004-04,6.773,
2004-07,6.627,
2004-10,8.711,
2005-01,9.886,
2005-04,9.637,
2005-07,9.680,
2005-10,9.353,
2006-01,9.361,
2006-04,9.282,
2006-07,9.212,
2006-10,9.404,
2007-01,9.262,
2007-04,9.285,
2007-07,9.170,
2007-10,9.086,
2008-01,8.875,
2008-04,8.885,
2008-07,8.757,
2008-10,8.688,
2009-01,8.600,
2009-04,9.874,
2009-07,9.663,
2009-10,9.594,
2010-01,9.480,
2010-04,9.373,
2010-07,9.654,
2010-10,9.561,
2011-01,9.258,
2011-04,9.215,
2011-07,9.200,
2011-10,9.087,
2012-01,9.050,
2012-04,9.022,
2012-07,9.140,
2012-10,9.050,
2013-01,9.246,
2013-04,9.184,
2013-07,9.237,
2013-10,9.125,
2014-01,9.262,
2014-04,9.508,
2014-07,9.648,
