"",BBK01.PQC360,BBK01.PQC360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:13,
1968-10,0.310,
1969-01,0.318,
1969-04,0.320,
1969-07,0.302,
1969-10,0.346,
1970-01,0.345,
1970-04,0.359,
1970-07,0.385,
1970-10,0.400,
1971-01,0.417,
1971-04,0.425,
1971-07,0.463,
1971-10,0.507,
1972-01,0.491,
1972-04,0.517,
1972-07,0.528,
1972-10,0.640,
1973-01,0.698,
1973-04,0.763,
1973-07,0.761,
1973-10,0.752,
1974-01,0.731,
1974-04,0.711,
1974-07,0.716,
1974-10,0.707,
1975-01,0.619,
1975-04,0.591,
1975-07,0.565,
1975-10,0.596,
1976-01,0.571,
1976-04,0.591,
1976-07,0.625,
1976-10,0.690,
1977-01,0.639,
1977-04,0.661,
1977-07,0.668,
1977-10,0.710,
1978-01,0.701,
1978-04,0.719,
1978-07,0.736,
1978-10,0.849,
1979-01,0.839,
1979-04,0.885,
1979-07,0.916,
1979-10,0.961,
1980-01,0.932,
1980-04,0.944,
1980-07,0.922,
1980-10,1.006,
1981-01,1.057,
1981-04,1.110,
1981-07,1.227,
1981-10,1.434,
1982-01,1.474,
1982-04,1.603,
1982-07,1.747,
1982-10,1.951,
1983-01,1.986,
1983-04,1.978,
1983-07,2.063,
1983-10,2.263,
1984-01,2.336,
1984-04,2.407,
1984-07,2.428,
1984-10,2.399,
1985-01,2.322,
1985-04,2.302,
1985-07,2.283,
1985-10,2.220,
1986-01,2.173,
1986-04,2.146,
1986-07,2.114,
1986-10,2.063,
1987-01,1.985,
1987-04,1.955,
1987-07,1.921,
1987-10,1.926,
1988-01,1.894,
1988-04,1.942,
1988-07,1.962,
1988-10,2.008,
1989-01,1.976,
1989-04,2.030,
1989-07,1.937,
1989-10,2.019,
1990-01,2.069,
1990-04,2.092,
1990-07,2.163,
1990-10,2.368,
1991-01,2.478,
1991-04,2.603,
1991-07,2.755,
1991-10,2.912,
1992-01,2.873,
1992-04,2.846,
1992-07,2.861,
1992-10,2.908,
1993-01,2.819,
1993-04,2.729,
1993-07,2.715,
1993-10,2.665,
1994-01,2.487,
1994-04,2.341,
1994-07,2.252,
1994-10,2.186,
1995-01,2.086,
1995-04,2.078,
1995-07,2.058,
1995-10,2.181,
1996-01,2.152,
1996-04,2.146,
1996-07,2.178,
1996-10,2.227,
1997-01,2.217,
1997-04,2.227,
1997-07,2.209,
1997-10,2.178,
1998-01,2.166,
1998-04,2.133,
1998-07,2.102,
1998-10,2.089,
1999-01,4.849,
1999-04,5.199,
1999-07,4.083,
1999-10,3.719,
2000-01,3.594,
2000-04,3.465,
2000-07,3.594,
2000-10,3.508,
2001-01,3.371,
2001-04,3.202,
2001-07,3.032,
2001-10,2.841,
2002-01,2.699,
2002-04,2.588,
2002-07,2.474,
2002-10,2.254,
2003-01,2.159,
2003-04,2.067,
2003-07,1.866,
2003-10,1.745,
2004-01,1.716,
2004-04,2.093,
2004-07,2.161,
2004-10,2.622,
2005-01,2.567,
2005-04,2.495,
2005-07,2.376,
2005-10,2.297,
2006-01,2.300,
2006-04,1.704,
2006-07,1.702,
2006-10,1.721,
2007-01,1.665,
2007-04,1.674,
2007-07,1.673,
2007-10,1.621,
2008-01,1.613,
2008-04,1.549,
2008-07,1.516,
2008-10,1.440,
2009-01,1.420,
2009-04,1.431,
2009-07,1.468,
2009-10,1.418,
2010-01,1.487,
2010-04,1.432,
2010-07,1.348,
2010-10,1.329,
2011-01,1.266,
2011-04,1.161,
2011-07,1.080,
2011-10,1.053,
2012-01,0.998,
2012-04,0.971,
2012-07,0.933,
2012-10,0.966,
2013-01,0.974,
2013-04,0.959,
2013-07,0.940,
2013-10,0.929,
2014-01,0.893,
2014-04,0.941,
2014-07,0.953,
2014-10,0.910,
