"",BBDE1.M.DE.W.AEA1.P2XF14000.B2.V.I10.A,BBDE1.M.DE.W.AEA1.P2XF14000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Stuctural engineering - public sector construction / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:21,
1991-01,89.8,
1991-02,85.7,
1991-03,123.3,
1991-04,119.7,
1991-05,138.7,
1991-06,167.6,
1991-07,140.7,
1991-08,137.3,
1991-09,153.9,
1991-10,139.0,
1991-11,129.6,
1991-12,140.9,
1992-01,105.7,
1992-02,142.4,
1992-03,135.7,
1992-04,129.7,
1992-05,146.9,
1992-06,163.4,
1992-07,150.1,
1992-08,129.7,
1992-09,168.3,
1992-10,150.1,
1992-11,139.8,
1992-12,145.8,
1993-01,94.7,
1993-02,107.4,
1993-03,149.9,
1993-04,131.7,
1993-05,153.4,
1993-06,153.4,
1993-07,147.9,
1993-08,164.9,
1993-09,168.3,
1993-10,161.2,
1993-11,128.8,
1993-12,166.6,
1994-01,103.9,
1994-02,105.7,
1994-03,160.5,
1994-04,137.1,
1994-05,174.7,
1994-06,183.8,
1994-07,185.1,
1994-08,169.1,
1994-09,179.3,
1994-10,165.1,
1994-11,144.9,
1994-12,140.6,
1995-01,140.1,
1995-02,105.9,
1995-03,156.1,
1995-04,154.4,
1995-05,158.9,
1995-06,183.3,
1995-07,196.3,
1995-08,150.2,
1995-09,188.1,
1995-10,168.8,
1995-11,119.2,
1995-12,125.2,
1996-01,116.6,
1996-02,116.7,
1996-03,147.3,
1996-04,147.2,
1996-05,143.1,
1996-06,163.1,
1996-07,151.8,
1996-08,135.6,
1996-09,142.4,
1996-10,134.7,
1996-11,112.5,
1996-12,112.2,
1997-01,73.1,
1997-02,123.5,
1997-03,132.0,
1997-04,110.5,
1997-05,146.4,
1997-06,149.0,
1997-07,163.0,
1997-08,142.4,
1997-09,162.2,
1997-10,142.9,
1997-11,101.1,
1997-12,115.4,
1998-01,106.3,
1998-02,104.7,
1998-03,128.0,
1998-04,117.9,
1998-05,134.9,
1998-06,162.8,
1998-07,149.7,
1998-08,130.9,
1998-09,169.0,
1998-10,118.5,
1998-11,113.2,
1998-12,107.5,
1999-01,82.4,
1999-02,109.1,
1999-03,142.9,
1999-04,141.6,
1999-05,144.8,
1999-06,158.7,
1999-07,115.0,
1999-08,116.2,
1999-09,137.3,
1999-10,142.4,
1999-11,94.1,
1999-12,117.8,
2000-01,88.8,
2000-02,80.5,
2000-03,132.9,
2000-04,112.1,
2000-05,120.6,
2000-06,138.6,
2000-07,106.5,
2000-08,100.4,
2000-09,118.7,
2000-10,105.4,
2000-11,87.4,
2000-12,126.1,
2001-01,63.3,
2001-02,73.2,
2001-03,112.5,
2001-04,96.5,
2001-05,115.4,
2001-06,181.3,
2001-07,110.4,
2001-08,96.4,
2001-09,110.2,
2001-10,133.1,
2001-11,91.2,
2001-12,79.4,
2002-01,63.1,
2002-02,79.7,
2002-03,127.7,
2002-04,106.3,
2002-05,96.4,
2002-06,136.9,
2002-07,107.0,
2002-08,108.2,
2002-09,115.6,
2002-10,83.1,
2002-11,80.8,
2002-12,82.5,
2003-01,55.7,
2003-02,72.5,
2003-03,90.5,
2003-04,90.1,
2003-05,97.7,
2003-06,97.1,
2003-07,100.3,
2003-08,96.9,
2003-09,110.4,
2003-10,94.1,
2003-11,68.0,
2003-12,74.4,
2004-01,49.9,
2004-02,88.2,
2004-03,99.9,
2004-04,86.2,
2004-05,87.1,
2004-06,103.0,
2004-07,111.5,
2004-08,96.8,
2004-09,103.5,
2004-10,91.4,
2004-11,66.5,
2004-12,77.9,
2005-01,49.9,
2005-02,64.1,
2005-03,91.5,
2005-04,75.4,
2005-05,89.8,
2005-06,108.8,
2005-07,88.3,
2005-08,88.9,
2005-09,116.5,
2005-10,87.7,
2005-11,67.5,
2005-12,79.0,
2006-01,53.3,
2006-02,79.2,
2006-03,106.3,
2006-04,91.4,
2006-05,81.9,
2006-06,111.9,
2006-07,106.5,
2006-08,85.1,
2006-09,97.2,
2006-10,81.1,
2006-11,67.4,
2006-12,64.2,
2007-01,53.4,
2007-02,60.7,
2007-03,136.7,
2007-04,81.9,
2007-05,102.9,
2007-06,94.2,
2007-07,100.6,
2007-08,99.4,
2007-09,99.9,
2007-10,96.8,
2007-11,73.4,
2007-12,93.2,
2008-01,63.4,
2008-02,76.3,
2008-03,137.3,
2008-04,98.2,
2008-05,95.8,
2008-06,105.9,
2008-07,107.4,
2008-08,96.8,
2008-09,117.0,
2008-10,103.8,
2008-11,68.4,
2008-12,106.3,
2009-01,55.8,
2009-02,73.5,
2009-03,102.0,
2009-04,88.5,
2009-05,111.6,
2009-06,113.1,
2009-07,105.6,
2009-08,102.3,
2009-09,122.2,
2009-10,95.8,
2009-11,85.9,
2009-12,107.8,
2010-01,70.1,
2010-02,92.8,
2010-03,111.6,
2010-04,111.3,
2010-05,104.9,
2010-06,126.2,
2010-07,111.1,
2010-08,100.7,
2010-09,112.9,
2010-10,98.5,
2010-11,77.0,
2010-12,81.1,
2011-01,57.4,
2011-02,60.9,
2011-03,103.7,
2011-04,87.1,
2011-05,110.9,
2011-06,136.1,
2011-07,111.8,
2011-08,85.3,
2011-09,98.4,
2011-10,78.4,
2011-11,85.9,
2011-12,85.1,
2012-01,70.6,
2012-02,84.6,
2012-03,111.8,
2012-04,83.7,
2012-05,91.9,
2012-06,107.1,
2012-07,85.9,
2012-08,120.5,
2012-09,106.1,
2012-10,105.8,
2012-11,66.7,
2012-12,63.8,
2013-01,61.0,
2013-02,75.6,
2013-03,103.4,
2013-04,114.3,
2013-05,106.7,
2013-06,108.0,
2013-07,108.8,
2013-08,92.4,
2013-09,110.8,
2013-10,85.6,
2013-11,75.0,
2013-12,82.9,
2014-01,73.7,
2014-02,67.0,
2014-03,105.2,
2014-04,95.9,
2014-05,103.0,
2014-06,114.8,
2014-07,109.5,
2014-08,89.4,
2014-09,96.2,
2014-10,84.6,
2014-11,68.2,
2014-12,78.9,
