"",BBK01.OEBI02I,BBK01.OEBI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:19,
2002-01,14.988,
2002-04,15.052,
2002-07,15.837,
2002-10,16.724,
2003-01,16.549,
2003-04,17.171,
2003-07,12.458,
2003-10,12.225,
2004-01,12.989,
2004-04,13.283,
2004-07,13.378,
2004-10,13.826,
2005-01,15.968,
2005-04,16.829,
2005-07,17.079,
2005-10,18.344,
2006-01,17.394,
2006-04,18.266,
2006-07,17.158,
2006-10,22.156,
2007-01,21.258,
2007-04,22.109,
2007-07,22.432,
2007-10,23.375,
2008-01,22.592,
2008-04,22.699,
2008-07,21.856,
2008-10,29.769,
2009-01,35.607,
2009-04,38.119,
2009-07,40.157,
2009-10,42.257,
2010-01,45.819,
2010-04,46.781,
2010-07,46.529,
2010-10,49.215,
2011-01,50.372,
2011-04,50.776,
2011-07,52.162,
2011-10,57.002,
2012-01,59.691,
2012-04,63.883,
2012-07,64.460,
2012-10,66.385,
2013-01,67.620,
2013-04,68.532,
2013-07,69.175,
2013-10,70.546,
2014-01,70.629,
2014-04,72.104,
2014-07,72.058,
