"",BBSF2.M.1.S.I1251.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:11,
2009-09,443,
2009-10,11,
2009-11,517,
2009-12,833,
2010-01,249,
2010-02,137,
2010-03,167,
2010-04,487,
2010-05,93,
2010-06,297,
2010-07,2,
2010-08,184,
2010-09,241,
2010-10,248,
2010-11,221,
2010-12,765,
2011-01,252,
2011-02,57,
2011-03,386,
2011-04,34,
2011-05,113,
2011-06,112,
2011-07,34,
2011-08,22,
2011-09,330,
2011-10,3,
2011-11,12,
2011-12,629,
2012-01,262,
2012-02,155,
2012-03,181,
2012-04,4,
2012-05,49,
2012-06,250,
2012-07,75,
2012-08,58,
2012-09,19,
2012-10,321,
2012-11,8,
2012-12,296,
2013-01,56,
2013-02,598,
2013-03,22,
2013-04,50,
2013-05,870,
2013-06,121,
2013-07,420,
2013-08,127,
2013-09,140,
2013-10,2843,
2013-11,148,
2013-12,567,
2014-01,145,
2014-02,3,
2014-03,201,
2014-04,105,
2014-05,484,
2014-06,245,
2014-07,181,
2014-08,0,
2014-09,149,
2014-10,110,
2014-11,66,
