"",BBK01.OEAF05R,BBK01.OEAF05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:36,
2002-01,1.520,
2002-04,1.562,
2002-07,1.614,
2002-10,1.661,
2003-01,1.639,
2003-04,1.673,
2003-07,1.613,
2003-10,1.591,
2004-01,1.577,
2004-04,1.587,
2004-07,1.579,
2004-10,1.570,
2005-01,1.507,
2005-04,1.510,
2005-07,1.521,
2005-10,1.497,
2006-01,1.431,
2006-04,1.461,
2006-07,1.468,
2006-10,1.450,
2007-01,1.453,
2007-04,1.453,
2007-07,1.450,
2007-10,1.441,
2008-01,1.439,
2008-04,1.463,
2008-07,1.485,
2008-10,1.475,
2009-01,1.468,
2009-04,1.484,
2009-07,1.429,
2009-10,1.593,
2010-01,1.413,
2010-04,1.393,
2010-07,1.409,
2010-10,1.407,
2011-01,1.397,
2011-04,1.394,
2011-07,1.416,
2011-10,1.436,
2012-01,1.433,
2012-04,1.452,
2012-07,1.462,
2012-10,1.412,
2013-01,1.408,
2013-04,1.432,
2013-07,1.453,
2013-10,1.423,
2014-01,1.432,
2014-04,1.452,
2014-07,1.457,
