"",BBK01.CEF30J,BBK01.CEF30J_FLAGS
"",Debt securities  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:06,
1999-01,221.3,
1999-04,217.2,
1999-07,207.3,
1999-10,202.0,
2000-01,196.0,
2000-04,193.9,
2000-07,203.7,
2000-10,200.6,
2001-01,184.2,
2001-04,188.2,
2001-07,176.9,
2001-10,220.7,
2002-01,204.5,
2002-04,207.6,
2002-07,220.6,
2002-10,238.0,
2003-01,247.1,
2003-04,261.7,
2003-07,260.8,
2003-10,256.3,
2004-01,276.3,
2004-04,282.1,
2004-07,292.9,
2004-10,292.8,
2005-01,293.8,
2005-04,293.5,
2005-07,305.2,
2005-10,291.3,
2006-01,216.9,
2006-04,226.9,
2006-07,237.5,
2006-10,245.7,
2007-01,261.2,
2007-04,272.7,
2007-07,278.5,
2007-10,266.8,
2008-01,257.5,
2008-04,255.3,
2008-07,250.3,
2008-10,235.8,
2009-01,224.8,
2009-04,226.0,
2009-07,233.1,
2009-10,231.4,
2010-01,229.7,
2010-04,223.8,
2010-07,223.8,
2010-10,219.1,
2011-01,219.6,
2011-04,222.3,
2011-07,212.0,
2011-10,211.0,
2012-01,213.0,
2012-04,208.3,
2012-07,206.6,
2012-10,200.1,
2013-01,193.1,
2013-04,184.1,
2013-07,182.0,
2013-10,179.0,
2014-01,177.7,
2014-04,176.4,
2014-07,168.9,
